年度,Fiscal year,開館日数 Number of open days,観覧人員 Visitors／総数 Total,観覧人員 Visitors／常設展 Permanent exhibitions,観覧人員 Visitors／企画展 Special exhibition,観覧人員 Visitors／たてもの園 Edo-Tokyo Open-Air Architectural Museum,収蔵品数(年度末)  The number of collection items (end of fiscal year)／総数 Total,収蔵品数(年度末)  The number of collection items (end of fiscal year)／標本 Specimens,収蔵品数(年度末)  The number of collection items (end of fiscal year)／図書 Books,収蔵品数(年度末)  The number of collection items (end of fiscal year)／映像・音響 Audio-visual materials,たてもの園建造物棟数(年度末)  Edo-Tokyo Open-Air Architectural Museum Reconstructed building (end of fiscal year)
平成20,2008,315,1716806,874312,608144,234350,539045,300154,202291,36600,27
平成21,2009,315,1394980,787358,368377,239245,548675,301956,209216,37503,27
平成22,2010,298,1446639,786996,446609,213034,555504,302851,215151,37502,27
平成23,2011,296,1405284,709566,494464,201254,565141,306525,220655,37961,29
平成24,2012,317,1348371,770856,354046,223469,578186,310594,225866,41726,30
,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,
17-12  東京都立美術館及び博物館 (4) 東京都江戸東京博物館 (平成20～24年度) 17-12  TOKYO METROPOLITAN MUSEUMS (4) TOKYO METROPOLITAN EDO-TOKYO MUSEUM ( Fiscal Years 2008-2012 ),,,,,,,,,,,
注 1) 「開館日数」欄は，本館の開館日数である。,,,,,,,,,,,
2) 平成23年3月11日に発生した東日本大震災に伴い，本館は3月12日から4月30日まで（企画展のみ4月28日），たてもの園は3月12，13，15日を臨時休館とした。,,,,,,,,,,,
"Note: 1) ""Days opened"" refers to  days the main building was open.",,,,,,,,,,,
2) Following the March 11， 2011 earthquake， the main building was closed from March 12 -April 30 (April 28 for special exhibition only)  and the Open-Air Museum was closed on March 12， 13， and 15.,,,,,,,,,,,
資料：公益財団法人東京都歴史文化財団事務局 Source: Tokyo Metropolitan Foundation for History and Culture　　,,,,,,,,,,,
