"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","知っている[人]","知らない[人]","無回答[人]"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","全体",,"658","366","287","5"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","性・年代別","男性（計）","248","125","122","1"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","性・年代別","男性 18～29歳","23","4","19","0"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","性・年代別","男性 30～39歳","35","12","23","0"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","性・年代別","男性 40～49歳","41","22","19","0"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","性・年代別","男性 50～59歳","49","20","29","0"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","性・年代別","男性 60～69歳","39","24","15","0"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","性・年代別","男性 70歳以上","60","42","17","1"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","性・年代別","男性 無回答","1","1","0","0"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","性・年代別","女性（計）","400","234","162","4"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","性・年代別","女性 18～29歳","28","10","18","0"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","性・年代別","女性 30～39歳","65","28","37","0"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","性・年代別","女性 40～49歳","95","58","37","0"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","性・年代別","女性 50～59歳","82","49","33","0"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","性・年代別","女性 60～69歳","55","38","16","1"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","性・年代別","女性 70歳以上","75","51","21","3"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","性・年代別","女性 無回答","0","0","0","0"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","性・年代別","無回答","10","7","3","0"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","職業別","自営業主・家族従業","92","50","41","1"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","職業別","会社員・団体職員・公務員","280","136","144","0"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","職業別","アルバイト・パートタイマー","58","41","17","0"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","職業別","家事専業","94","59","34","1"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","職業別","学生","20","8","12","0"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","職業別","無職","83","51","29","3"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","職業別","その他","26","19","7","0"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","職業別","無回答","5","2","3","0"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","居住地区別","芝地区","107","69","37","1"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","居住地区別","麻布地区","140","73","65","2"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","居住地区別","赤坂地区","88","50","38","0"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","居住地区別","高輪地区","155","88","65","2"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","居住地区別","芝浦港南地区","164","84","80","0"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","居住地区別","無回答","4","2","2","0"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","住居形態別","持家（一戸建）","95","69","25","1"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","住居形態別","持家（マンション）","302","176","122","4"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","住居形態別","借家（一戸建）","7","5","2","0"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","住居形態別","民間の賃貸マンション・アパート","171","68","103","0"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","住居形態別","都営住宅・区営住宅・区立住宅","28","20","8","0"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","18","11","7","0"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","住居形態別","社宅・公務員宿舎","20","8","12","0"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","住居形態別","寮・寄宿舎・住み込み・間借り","6","2","4","0"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","住居形態別","その他","5","3","2","0"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","住居形態別","無回答","6","4","2","0"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","定住意向別","ずっと住み続けていたい","366","237","126","3"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","定住意向別","当分は住んでいたい","224","104","119","1"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","42","15","27","0"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","2","0","2","0"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","定住意向別","近いうちに区外に転居する予定である","9","5","4","0"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","定住意向別","わからない","14","5","8","1"
"202003","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","定住意向別","無回答","1","0","1","0"

"第32回港区民世論調査クロス集計表・区政全般Q4","Ver202003",,,,,,,
