産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.53,1.93,1.27,1.58
"鉱業,採石業,砂利採取業",1.14,0.88,1.14,0.88
建設業,0.7,1.34,0.45,1.64
製造業,0.56,1.25,0.52,1.31
電気・ガス・熱供給・水道業,0.46,0.97,0.54,1.14
情報通信業,0.78,1.02,0.75,0.85
"運輸業,郵便業",1.28,1.25,1.18,1.07
"卸売業,小売業",1.28,1.94,0.9,1.43
"金融業,保険業",0.93,1.27,1.01,1.17
"不動産業,物品賃貸業",0.94,1.23,1.12,1.23
"学術研究,専門・技術サービス業",2.08,1.51,2.27,1.76
"宿泊業,飲食サービス業",3.95,4.53,3.33,2.78
"生活関連サービス業,娯楽業",1.21,2.39,1.15,1.19
"教育,学習支援業",1.32,3.5,1.22,3.87
"医療,福祉",1.67,1.8,1.55,1.42
複合サービス事業,0.43,0.47,0.4,0.5
サービス業（他に分類されないもの）,2.46,1.79,2.17,1.79
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年８月分,,,,
第４表  産業別労働異動率,,,,
