事業所規模,産業,和暦年,西暦年,年平均・月,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
30人以上,TL 調査産業計,平成18,2006,年平均,489455,584977,312629,374252,443004,246981,345002,29250,115203,141973,65648
30人以上,TL 調査産業計,平成19,2007,年平均,488551,577529,318891,374024,436871,254190,345788,28236,114527,140658,64701
30人以上,TL 調査産業計,平成20,2008,年平均,499966,586585,329177,380682,442060,259661,352711,27971,119284,144525,69516
30人以上,TL 調査産業計,平成21,2009,年平均,466643,557125,311082,369146,436510,253330,342915,26231,97497,120615,57752
30人以上,TL 調査産業計,平成22,2010,年平均,469974,564626,313052,370025,439590,254693,343345,26680,99949,125036,58359
30人以上,TL 調査産業計,平成23,2011,年平均,470971,569716,309890,368745,440986,250900,342036,26709,102226,128730,58990
30人以上,TL 調査産業計,平成24,2012,年平均,457897,550412,303588,363267,431925,248751,334890,28377,94630,118487,54837
30人以上,TL 調査産業計,平成25,2013,年平均,463833,556788,308114,363982,432028,249990,335218,28764,99851,124760,58124
30人以上,TL 調査産業計,平成26,2014,年平均,468699,564806,312570,365203,435060,251717,335667,29536,103496,129746,60853
30人以上,TL 調査産業計,平成26,2014,1月,371758,444699,251838,360611,430018,246502,332680,27931,11147,14681,5336
30人以上,TL 調査産業計,平成26,2014,2月,369890,440113,253464,363844,432923,249315,335126,28718,6046,7190,4149
30人以上,TL 調査産業計,平成26,2014,3月,402862,483791,269567,366859,438057,249591,336372,30487,36003,45734,19976
30人以上,TL 調査産業計,平成26,2014,4月,392180,464632,272965,373657,442513,260359,341893,31764,18523,22119,12606
30人以上,TL 調査産業計,平成26,2014,5月,385182,458725,265552,364825,433492,253126,334614,30211,20357,25233,12426
30人以上,TL 調査産業計,平成26,2014,6月,767366,942172,483378,365585,435010,252798,336150,29435,401781,507162,230580
30人以上,TL 調査産業計,平成26,2014,7月,510949,617966,337064,364527,432843,253525,334850,29677,146422,185123,83539
30人以上,TL 調査産業計,平成26,2014,8月,375009,448281,257555,363986,433889,251934,335115,28871,11023,14392,5621
30人以上,TL 調査産業計,平成26,2014,9月,392792,471113,267507,367109,438865,252326,339601,27508,25683,32248,15181
30人以上,TL 調査産業計,平成26,2014,10月,375998,448805,259513,364554,434950,251928,335277,29277,11444,13855,7585
30人以上,TL 調査産業計,平成26,2014,11月,387179,460988,268251,364195,434966,250162,333437,30758,22984,26022,18089
30人以上,TL 調査産業計,平成26,2014,12月,887460,1090877,559360,362717,433241,248965,332924,29793,524743,657636,310395
