規模,産業,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,調査産業計,19.5,164,148.5,15.5,13.9,83.1,80.3,2.8
５人以上,"鉱業,採石業,砂利採取業",17.9,148.4,129.4,19,15.4,111.1,105.8,5.3
５人以上,建設業,21.5,184,161.1,22.9,16.3,121.8,120.8,1
５人以上,製造業,19.6,164.6,150.8,13.8,17.8,127.3,118.8,8.5
５人以上,電気・ガス・熱供給・水道業,17.3,152.5,130.3,22.2,13.7,104.1,103.8,0.3
５人以上,情報通信業,18.5,159.7,141,18.7,13.8,90.3,86.2,4.1
５人以上,"運輸業,郵便業",19.6,181,156.3,24.7,17.5,104,97.1,6.9
５人以上,"卸売業,小売業",19.9,163.6,153.2,10.4,15.3,92.6,90.4,2.2
５人以上,"金融業,保険業",17.9,151.7,132.5,19.2,15.4,99.5,95.6,3.9
５人以上,"不動産業,物品賃貸業",19.8,165.8,150.6,15.2,15.6,94.2,89.5,4.7
５人以上,"学術研究,専門・技術サービス業",20.1,171,149.9,21.1,13.5,86.4,84.4,2
５人以上,"宿泊業,飲食サービス業",21.5,184.5,166.9,17.6,12.8,75.7,73.1,2.6
５人以上,"生活関連サービス業,娯楽業",20.2,169.1,157.8,11.3,14.5,92.5,87.8,4.7
５人以上,"教育,学習支援業",18.7,139,134.3,4.7,8.3,43.2,42.5,0.7
５人以上,"医療,福祉",19.4,154.5,146.3,8.2,11.8,66.5,65.5,1
５人以上,複合サービス事業,17.4,144.2,132.9,11.3,15.7,96.6,94.7,1.9
５人以上,サービス業（他に分類されないもの）,18.9,162,144.8,17.2,15.1,88.3,84.8,3.5
30人以上,調査産業計,19.2,161.9,145.3,16.6,14.5,86.9,83.7,3.2
30人以上,"鉱業,採石業,砂利採取業",17.9,148.4,129.4,19,15.4,111.1,105.8,5.3
30人以上,建設業,21.4,185.2,157.2,28,16,116.1,113.6,2.5
30人以上,製造業,19.2,162.2,147.7,14.5,17.9,133.6,121.7,11.9
30人以上,電気・ガス・熱供給・水道業,17.3,153.8,130.4,23.4,15.7,118.7,118.1,0.6
30人以上,情報通信業,18.4,159.3,139.1,20.2,12.9,91.5,84.7,6.8
30人以上,"運輸業,郵便業",19.5,182.3,156.5,25.8,17.6,105.6,97.8,7.8
30人以上,"卸売業,小売業",19.4,160.2,148.8,11.4,16.7,98,95.8,2.2
30人以上,"金融業,保険業",17.9,152.1,131.8,20.3,15.4,100.9,96.8,4.1
30人以上,"不動産業,物品賃貸業",19.1,159.2,145,14.2,17.1,91.7,89,2.7
30人以上,"学術研究,専門・技術サービス業",19.9,173.7,149.4,24.3,13.7,98.3,94.8,3.5
30人以上,"宿泊業,飲食サービス業",20.9,178.9,160.7,18.2,13.8,80.6,78.1,2.5
30人以上,"生活関連サービス業,娯楽業",19.4,160.3,149.3,11,14.1,88.9,85.4,3.5
30人以上,"教育,学習支援業",18.7,137.3,133.1,4.2,8.2,42.8,42,0.8
30人以上,"医療,福祉",19.4,154.4,146.7,7.7,11.6,70.4,69.4,1
30人以上,複合サービス事業,17.7,150.4,129.4,21,15.2,76.9,75.2,1.7
30人以上,サービス業（他に分類されないもの）,18.6,158.5,141.7,16.8,15.2,90.1,86.3,3.8
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年１１月分,,,,,,,,,
第６表  産業、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,
