施設名,所在地,緯度,経度,開館日・時間
墨田区役所（1階　喫煙所前）,墨田区吾妻橋一丁目23番20号,35.710722,139.801497,平日の午前8時から午後7時30分まで。年末年始を除く
緑出張所,墨田区緑三丁目7番3号,35.693716,139.803289,平日の午前8時30分から午後5時まで。年末年始を除く
横川出張所,墨田区横川五丁目10番1号111号室,35.705911,139.816341,平日の午前8時30分から午後5時まで。年末年始を除く
文花出張所,墨田区文花一丁目32番1号102号室,35.708094,139.824656,平日の午前8時30分から午後5時まで。年末年始を除く
墨田二丁目出張所,墨田区墨田二丁目36番11号（ベルクス墨田店商業施設　パシオス2階）,35.7325,139.801497,平日の午前8時30分から午後5時まで。年末年始を除く
東向島出張所,墨田区東向島二丁目38番7号,35.721213,139.818441,平日の午前8時30分から午後5時まで。年末年始を除く
ひきふね図書館,墨田区京島一丁目36番5号,35.7171006,139.8191516,月曜日から土曜日まで。午前9時から午後9時まで。毎月第3木曜日、年末年始を除く。日曜日、祝日は午後5時まで。
緑図書館,墨田区緑二丁目24番5号,35.69574,139.800613,火曜日から土曜日まで。午前9時から午後8時まで。年末年始を除く。日曜日・月曜日、祝日は午後5時まで。
立花図書館,墨田区立花六丁目8番1号101号室,35.710595,139.834744,火曜日から土曜日まで。午前9時から午後8時まで。年末年始を除く。日曜日・月曜日、祝日は午後5時まで。
八広図書館,墨田区八広五丁目10番1号104号室,35.72481,139.825793,火曜日から土曜日まで。午前9時から午後8時まで。年末年始を除く。日曜日・月曜日、祝日は午後5時まで。
すみだ清掃事業所,墨田区業平五丁目6番2号,35.707082,139.817985,月曜日から土曜日まで。午前7時40分から午後5時15分まで。年末年始を除く。　
すみだ清掃事務所分室,墨田区東向島五丁目9番11号,35.726142,139.820711,月曜日から土曜日まで。午前7時40分から午後5時15分まで。年末年始を除く。　
墨田区総合体育館,墨田区錦糸四丁目15番1号,35.733338,139.8171884,毎日午前8時30分から午後10時30分まで。毎月第3月曜日、年末年始を除く。
