"科目","金額[百万円]"
"年度","2021"
"決算日","20220331"
"資産の部 固定資産","3532051"
"資産の部 固定資産 有形固定資産","3383092"
"資産の部 固定資産 有形固定資産 事業用資産","645177"
"資産の部 固定資産 有形固定資産 事業用資産 土地","424840"
"資産の部 固定資産 有形固定資産 事業用資産 立木竹","-"
"資産の部 固定資産 有形固定資産 事業用資産 建物","369675"
"資産の部 固定資産 有形固定資産 事業用資産 建物減価償却累計額","-160170"
"資産の部 固定資産 有形固定資産 事業用資産 工作物","8426"
"資産の部 固定資産 有形固定資産 事業用資産 工作物減価償却累計額","-5222"
"資産の部 固定資産 有形固定資産 事業用資産 船舶","-"
"資産の部 固定資産 有形固定資産 事業用資産 船舶減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 浮標等","-"
"資産の部 固定資産 有形固定資産 事業用資産 浮標等減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 航空機","-"
"資産の部 固定資産 有形固定資産 事業用資産 航空機減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 その他","-"
"資産の部 固定資産 有形固定資産 事業用資産 その他減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 建設仮勘定","7628"
"資産の部 固定資産 有形固定資産 インフラ資産","2736306"
"資産の部 固定資産 有形固定資産 インフラ資産 土地","2631528"
"資産の部 固定資産 有形固定資産 インフラ資産 建物","1560"
"資産の部 固定資産 有形固定資産 インフラ資産 建物減価償却累計額","-807"
"資産の部 固定資産 有形固定資産 インフラ資産 工作物","120054"
"資産の部 固定資産 有形固定資産 インフラ資産 工作物減価償却累計額","-16029"
"資産の部 固定資産 有形固定資産 インフラ資産 その他","-"
"資産の部 固定資産 有形固定資産 インフラ資産 その他減価償却累計額","-"
"資産の部 固定資産 有形固定資産 インフラ資産 建設仮勘定","-"
"資産の部 固定資産 有形固定資産 物品","3965"
"資産の部 固定資産 有形固定資産 物品減価償却累計額","-2356"
"資産の部 固定資産 無形固定資産","3825"
"資産の部 固定資産 無形固定資産 ソフトウェア","3815"
"資産の部 固定資産 無形固定資産 その他","10"
"資産の部 固定資産 投資その他の資産","145134"
"資産の部 固定資産 投資その他の資産 投資及び出資金","852"
"資産の部 固定資産 投資その他の資産 投資及び出資金 有価証券","293"
"資産の部 固定資産 投資その他の資産 投資及び出資金 出資金","559"
"資産の部 固定資産 投資その他の資産 投資及び出資金 その他","-"
"資産の部 固定資産 投資その他の資産 長期延滞債権","2804"
"資産の部 固定資産 投資その他の資産 長期貸付金","624"
"資産の部 固定資産 投資その他の資産 基金","141607"
"資産の部 固定資産 投資その他の資産 基金 減債基金","-"
"資産の部 固定資産 投資その他の資産 基金 その他","141607"
"資産の部 固定資産 投資その他の資産 その他","-"
"資産の部 固定資産 投資その他の資産 徴収不能引当金","-755"
"資産の部 流動資産","76739"
"資産の部 流動資産 現金預金","22869"
"資産の部 流動資産 未収金","2004"
"資産の部 流動資産 短期貸付金","487"
"資産の部 流動資産 基金","51392"
"資産の部 流動資産 基金 財政調整基金","51392"
"資産の部 流動資産 基金 減債基金","-"
"資産の部 流動資産 棚卸資産","-"
"資産の部 流動資産 その他","-"
"資産の部 流動資産 徴収不能引当金","-13"
"資産の部 繰延資産","-"
"資産の部 資産合計","3608790"
"負債の部 固定負債","15076"
"負債の部 固定負債 地方債等","55"
"負債の部 固定負債 長期未払金","2169"
"負債の部 固定負債 退職手当引当金","12852"
"負債の部 固定負債 損失補償等引当金","-"
"負債の部 固定負債 その他","-"
"負債の部 流動負債","9116"
"負債の部 流動負債 1年内償還予定地方債等","119"
"負債の部 流動負債 未払金","286"
"負債の部 流動負債 未払費用","-"
"負債の部 流動負債 前受金","-"
"負債の部 流動負債 前受収益","-"
"負債の部 流動負債 賞与等引当金","1055"
"負債の部 流動負債 預り金","7656"
"負債の部 流動負債 その他","-"
"負債の部 負債合計","24192"
"純資産の部 固定資産等形成分","3583930"
"純資産の部 余剰分（不足分）","668"
"純資産の部 他団体出資等分","-"
"純資産の部 純資産合計","3584598"
"負債及び純資産合計","3608790"

"全体会計財務書類（貸借対照表）(令和4年3月31日現在)","Ver202203"
