年月,西暦（年）,月,東京都区部,札幌,仙台,千葉,横浜,川崎,名古屋,京都,大阪,神戸,広島,北九州,福岡
平成14年平均,2002,,102.1,101.1,101.8,102.4,100.4,100.6,101.7,101.7,103.7,100.8,101.3,101.1,102.5
平成15年平均,2003,,101.6,100.8,101.8,101.5,100.4,100.6,101.3,101.3,103.4,100.4,100.9,100.6,101.9
平成16年平均,2004,,101.5,101,101.5,101.2,100.2,100.7,101.3,101.3,103.2,100.9,100.6,100.9,101.4
平成17年平均,2005,,101,100.9,100.9,100.7,99.8,100.5,100.6,100.9,102.1,100.6,100.1,100.2,101.1
平成18年平均,2006,,101.1,101.1,101.2,101,100.2,100.8,100.8,100.8,102.2,100.6,100.3,100.3,101.2
平成19年平均,2007,,101.2,101,101.4,101,100.5,100.9,101.1,100.8,102.1,100.5,100.4,100.5,101.1
平成20年平均,2008,,102.2,103,102.5,102,101.8,101.8,102.3,101.8,102.9,101.5,102.3,101.7,102.1
平成21年平均,2009,,101,100.6,100.8,100.4,100.7,100.9,101.5,100.9,102.1,100.4,101,100.5,100.7
平成22年平均,2010,,100,100,100,100,100,100,100,100,100,100,100,100,100
平成23年平均,2011,,99.5,100.2,99.3,99.6,99.7,99.5,99.6,100.1,99.5,99.8,100.1,99.6,99.8
平成23年６月,2011,6,99.4,100.5,99.4,99.6,99.6,99.5,99.7,99.9,99.4,99.8,100.2,99.4,99.6
平成23年７月,2011,7,99.4,100.3,99.4,99.7,99.5,99.3,99.6,100.2,99.3,99.7,100.3,99.5,99.7
平成23年８月,2011,8,99.5,100.3,99.5,99.8,99.8,99.5,99.7,100.5,99.4,100,100.1,99.7,99.7
平成23年９月,2011,9,99.6,100,99.2,99.7,99.8,99.8,99.9,100.4,99.7,100.2,100.2,99.7,99.9
平成23年10月,2011,10,99.9,100.1,99.3,99.8,100,99.9,100,100.5,100.1,100.4,100.2,99.7,100
平成23年11月,2011,11,99.2,99.6,98.5,99,99.3,99.2,99.3,99.6,99.6,99.6,99.7,99.2,99.5
平成23年12月,2011,12,99.3,100.1,98.6,99.1,99.4,99.4,99.3,99.7,99.6,99.5,99.6,99.5,99.6
平成24年1月,2012,1,99.1,100.1,98.5,99.5,99.7,99.6,99.3,99.7,99.7,99.7,100,99.9,99.9
平成24年2月,2012,2,99.1,100.1,99,99.2,99.9,99.8,99.8,99.9,99.7,100.1,100.2,100,100.1
平成24年3月,2012,3,99.5,101,99.3,99.9,100.2,100.1,100.5,100.4,100,100.4,100.8,100.2,100.3
平成24年4月,2012,4,99.5,100.9,99.6,99.9,100.2,100.2,100.6,100.4,100.1,100.3,100.5,100.3,100.3
平成24年5月,2012,5,99.2,100.5,99.1,99.5,99.9,100,100.3,100.4,99.8,100.2,100.2,100,100
平成24年6月,2012,6,98.8,100.1,98.5,99.1,99.4,99.3,100,100,99.5,99.8,99.7,99.4,99.5
,,,,,,,,,,,,,,,
東京の物価／平成２４年７月,,,,,,,,,,,,,,,
９．大都市消費者物価指数,,,,,,,,,,,,,,,
２０１０年＝１００,,,,,,,,,,,,,,,
(平成２２年＝１００),,,,,,,,,,,,,,,
