年月,西暦（年）,月,総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
平成24年5月,2012,5,99.2,99.2,99.2,98.8,98.7,106.5,89.2,101.3,99.1,100.7,100.3,94.7,102.2
平成24年6月,2012,6,98.8,98.8,98.3,98.8,98.7,107.1,89.3,100.9,99.1,99.9,100.3,94.3,102.2
平成24年7月,2012,7,98.7,98.6,97.8,98.8,98.8,107.9,88.9,98.5,99.1,100.3,100.3,94.1,102.1
平成24年8月,2012,8,98.8,98.8,97.3,98.8,98.8,109.2,87.6,96.4,99.1,101.5,100.3,95.9,102.3
平成24年9月,2012,9,98.9,99,97.2,98.8,98.8,113.4,86.9,102.7,99.2,100.2,100.3,94.1,102.1
平成24年10月,2012,10,99.1,99.1,97.4,98.8,98.8,113.2,87.2,102.9,99.3,100.3,100.3,94.4,102.3
平成24年11月,2012,11,98.7,98.7,97.1,98.8,98.7,112.9,86.8,103.5,99,99.6,100.3,92.9,102.2
平成24年12月,2012,12,98.7,98.7,97.4,98.7,98.7,112.6,86.2,102.4,98.7,100.1,100.3,92.8,101.9
前月比(％)／平成23年12月,2011,12,0.1,0.1,0.3,0,-0.1,0.2,-0.5,-1.3,-0.3,0.7,0,0.1,-0.1
前月比(％)／平成24年1月,2012,1,-0.2,-0.2,1.9,-0.3,-0.1,-0.2,1.4,-8.3,0.1,0,0,-2,-0.3
前月比(％)／平成24年2月,2012,2,0,0,-0.2,0,0,0,-1,1.7,-0.1,-0.7,0,0.9,0.1
前月比(％)／平成24年3月,2012,3,0.4,0.5,0.2,0,0,-0.2,-0.6,3.6,0,1.2,0,1.1,0
前月比(％)／平成24年4月,2012,4,0,0,-0.7,0,-0.1,0.2,-0.9,1.7,0.3,-0.2,0.1,0.8,0
前月比(％)／平成24年5月,2012,5,-0.3,-0.4,-0.5,-0.1,0,-0.1,-1,-0.5,-0.1,-0.3,0,-0.7,-0.1
前月比(％)／平成24年6月,2012,6,-0.3,-0.4,-0.9,0,0,0.6,0.1,-0.4,0,-0.8,0,-0.5,0
前月比(％)／平成24年7月,2012,7,-0.2,-0.2,-0.5,0,0.1,0.8,-0.5,-2.3,0,0.3,0,-0.2,-0.1
前月比(％)／平成24年8月,2012,8,0.2,0.2,-0.6,0,0,1.2,-1.4,-2.2,0,1.2,0,1.9,0.2
前月比(％)／平成24年9月,2012,9,0.1,0.2,-0.1,0,0,3.8,-0.8,6.5,0,-1.3,0,-1.9,-0.2
前月比(％)／平成24年10月,2012,10,0.1,0.2,0.3,0,0,-0.1,0.4,0.2,0.1,0.1,0,0.3,0.2
前月比(％)／平成24年11月,2012,11,-0.3,-0.4,-0.4,0,0,-0.3,-0.5,0.6,-0.3,-0.6,0,-1.6,-0.1
前月比(％)／平成24年12月,2012,12,0,0,0.4,0,-0.1,-0.3,-0.6,-1.1,-0.3,0.4,0,-0.1,-0.3
前年同月比(％)／平成23年12月,2011,12,-0.4,-0.4,-0.5,-0.5,-0.7,6.7,-6.5,0.5,-0.9,0.9,0.7,-3.6,-0.5
前年同月比(％)／平成24年1月,2012,1,-0.2,-0.1,0.4,-0.7,-0.7,6.9,-4.9,0.2,-0.9,0.6,0.7,-3.8,-0.7
前年同月比(％)／平成24年2月,2012,2,-0.2,-0.1,0.2,-0.8,-0.8,7.3,-5.4,0.3,-0.7,0.2,0.7,-3.1,-0.3
前年同月比(％)／平成24年3月,2012,3,-0.1,0,0.7,-0.7,-0.7,6.8,-5.3,-0.6,-0.4,0.1,0.6,-2.5,-0.7
前年同月比(％)／平成24年4月,2012,4,-0.3,-0.2,-0.2,-0.9,-0.9,6.4,-7,-0.5,-0.1,0,0.1,-1.4,-0.5
前年同月比(％)／平成24年5月,2012,5,-0.5,-0.4,0.4,-0.9,-0.8,5.5,-7.5,-0.8,-0.9,-0.3,0.1,-2.8,-0.9
前年同月比(％)／平成24年6月,2012,6,-0.6,-0.5,-0.6,-0.8,-0.7,5.2,-6.2,-0.4,-0.8,-0.2,0.1,-2.2,-0.7
前年同月比(％)／平成24年7月,2012,7,-0.8,-0.7,-1.4,-0.8,-0.6,4.9,-5.4,1.4,0,-0.9,0.1,-2.7,-0.8
前年同月比(％)／平成24年8月,2012,8,-0.7,-0.7,-1.6,-0.8,-0.6,5.1,-5.9,1.1,0.2,-0.5,0.1,-2.2,-0.3
前年同月比(％)／平成24年9月,2012,9,-0.7,-0.7,-1.9,-0.7,-0.5,8.1,-5.8,0.1,0.1,-0.1,0.1,-3.4,-0.6
前年同月比(％)／平成24年10月,2012,10,-0.8,-0.8,-2.4,-0.6,-0.4,6.9,-5,-0.8,0.1,0.2,0.1,-3,-0.4
前年同月比(％)／平成24年11月,2012,11,-0.5,-0.5,-1.2,-0.5,-0.3,5.9,-5.3,-1.4,-0.2,-0.4,0.1,-1.9,-0.5
前年同月比(％)／平成24年12月,2012,12,-0.6,-0.6,-1.2,-0.5,-0.3,5.4,-5.4,-1.2,-0.2,-0.7,0.1,-2,-0.7
,,,,,,,,,,,,,,,
東京の物価／平成２４年１２月,,,,,,,,,,,,,,,
１．東京都区部消費者物価１０大費目指数（月別）,,,,,,,,,,,,,,,
２０１０年＝１００／(平成２２年＝１００),,,,,,,,,,,,,,,
