地域区分,国・地域（人）,人口
総数,総数,486346
アジア,アジア,425120
アジア,アフガニスタン,158
アジア,アラブ首長国連邦,50
アジア,ミャンマー,8249
アジア,バーレーン,4
アジア,ブータン,12
アジア,バングラデシュ,3819
アジア,ブルネイ,21
アジア,カンボジア,533
アジア,スリランカ,2334
アジア,中国,185883
アジア,台湾,17281
アジア,キプロス,11
アジア,東ティモール,3
アジア,インド,10354
アジア,インドネシア,3693
アジア,イラン,994
アジア,イラク,22
アジア,イスラエル,233
アジア,ヨルダン,24
アジア,朝鮮,5622
アジア,韓国,88755
アジア,クウェート,8
アジア,ラオス,195
アジア,レバノン,39
アジア,マレーシア,2507
アジア,モンゴル,2116
アジア,オマーン,2
アジア,モルディブ,10
アジア,ネパール,22660
アジア,パキスタン,1124
アジア,フィリピン,30761
アジア,カタール,7
アジア,サウジアラビア,333
アジア,シリア,76
アジア,シンガポール,1087
アジア,タイ,7651
アジア,トルコ,711
アジア,ベトナム,27762
アジア,イエメン,8
アジア,パレスチナ,8
ヨーロッパ,ヨーロッパ,26518
ヨーロッパ,アルバニア,21
ヨーロッパ,オーストリア,225
ヨーロッパ,ベルギー,318
ヨーロッパ,ブルガリア,150
ヨーロッパ,ベラルーシ,109
ヨーロッパ,クロアチア,49
ヨーロッパ,チェコ,119
ヨーロッパ,デンマーク,228
ヨーロッパ,エストニア,42
ヨーロッパ,フィンランド,221
ヨーロッパ,フランス,5951
ヨーロッパ,ドイツ,2659
ヨーロッパ,ギリシャ,90
ヨーロッパ,ハンガリー,171
ヨーロッパ,アイスランド,32
ヨーロッパ,アイルランド,364
ヨーロッパ,イタリア,1683
ヨーロッパ,キルギス,58
ヨーロッパ,カザフスタン,111
ヨーロッパ,リヒテンシュタイン,6
ヨーロッパ,ルクセンブルク,15
ヨーロッパ,ラトビア,31
ヨーロッパ,リトアニア,80
ヨーロッパ,モナコ,1
ヨーロッパ,マルタ,10
ヨーロッパ,モルドバ,40
ヨーロッパ,マケドニア,13
ヨーロッパ,オランダ,459
ヨーロッパ,ノルウェー,140
ヨーロッパ,ポーランド,426
ヨーロッパ,ポルトガル,189
ヨーロッパ,ルーマニア,497
ヨーロッパ,ロシア,2383
ヨーロッパ,サンマリノ,0
ヨーロッパ,スペイン,1024
ヨーロッパ,スウェーデン,890
ヨーロッパ,スイス,412
ヨーロッパ,トルクメニスタン,14
ヨーロッパ,タジキスタン,29
ヨーロッパ,英国,5836
ヨーロッパ,ウクライナ,420
ヨーロッパ,ウズベキスタン,805
ヨーロッパ,アルメニア,16
ヨーロッパ,アゼルバイジャン,26
ヨーロッパ,アンドラ,1
ヨーロッパ,ジョージア,16
ヨーロッパ,スロベニア,20
ヨーロッパ,スロバキア,37
ヨーロッパ,ボスニア・ヘルツェゴビナ,9
ヨーロッパ,セルビア・モンテネグロ,2
ヨーロッパ,モンテネグロ,3
ヨーロッパ,セルビア,63
ヨーロッパ,コソボ共和国,4
アフリカ,アフリカ,3119
アフリカ,アルジェリア,51
アフリカ,ブルンジ,3
アフリカ,ボツワナ,10
アフリカ,カメルーン,94
アフリカ,中央アフリカ,6
アフリカ,チャド,0
アフリカ,コンゴ共和国,18
アフリカ,コンゴ民主共和国,47
アフリカ,カーボベルデ,1
アフリカ,コモロ,0
アフリカ,ベナン,16
アフリカ,ジブチ,7
アフリカ,エチオピア,172
アフリカ,エリトリア,6
アフリカ,ガボン,3
アフリカ,ガーナ,520
アフリカ,ギニア,144
アフリカ,ガンビア,13
アフリカ,ギニアビサウ,3
アフリカ,コートジボワール,41
アフリカ,ケニア,128
アフリカ,リベリア,6
アフリカ,リビア,21
アフリカ,レソト,4
アフリカ,マダガスカル,14
アフリカ,マリ,41
アフリカ,モーリタニア,5
アフリカ,モロッコ,140
アフリカ,マラウイ,22
アフリカ,モーリシャス,18
アフリカ,モザンビーク,17
アフリカ,ニジェール,2
アフリカ,ナイジェリア,526
アフリカ,ナミビア,7
アフリカ,ルワンダ,14
アフリカ,セネガル,132
アフリカ,シエラレオネ,19
アフリカ,ソマリア,6
アフリカ,スーダン,27
アフリカ,スワジランド,1
アフリカ,セーシェル,0
アフリカ,タンザニア,76
アフリカ,トーゴ,6
アフリカ,チュニジア,145
アフリカ,ウガンダ,94
アフリカ,南アフリカ共和国,166
アフリカ,エジプト,268
アフリカ,ブルキナファソ,11
アフリカ,ザンビア,15
アフリカ,ジンバブエ,19
アフリカ,アンゴラ,8
アフリカ,南スーダン共和国,6
北米,北米,20861
北米,バルバドス,3
北米,バハマ,2
北米,ベリーズ,4
北米,カナダ,3014
北米,コスタリカ,26
北米,キューバ,75
北米,ドミニカ共和国,39
北米,ドミニカ,6
北米,エルサルバドル,20
北米,グアテマラ,31
北米,ハイチ,5
北米,ホンジュラス,25
北米,ジャマイカ,87
北米,メキシコ,541
北米,ニカラグア,9
北米,パナマ,16
北米,セントルシア,1
北米,セントビンセント,0
北米,セントクリストファー・ネーヴィス,3
北米,トリニダード・トバゴ,14
北米,米国,16939
北米,グレナダ,1
北米,アンティグア・バーブーダ,0
南米,南米,6131
南米,アルゼンチン,279
南米,ボリビア,108
南米,ブラジル,3087
南米,チリ,134
南米,コロンビア,502
南米,エクアドル,41
南米,ガイアナ,0
南米,パラグアイ,69
南米,ペルー,1810
南米,スリナム,3
南米,ウルグアイ,19
南米,ベネズエラ,79
オセアニア,オセアニア,4160
オセアニア,オーストラリア,3225
オセアニア,フィジー,47
オセアニア,キリバス,2
オセアニア,マーシャル,2
オセアニア,ミクロネシア,8
オセアニア,ニュージーランド,823
オセアニア,ナウル,0
オセアニア,パプアニューギニア,9
オセアニア,パラオ,7
オセアニア,ソロモン,9
オセアニア,トンガ,21
オセアニア,ツバル,0
オセアニア,バヌアツ,0
オセアニア,サモア,7
無国籍・その他,無国籍・その他,437
,,
外国人人口　平成29年１月,,
第２表 国籍・地域別外国人人口（平成29年１月１日現在）,,
注１）住民票に記載される国籍・地域の名称は在留管理制度に基づく在留カード等の「国籍・地域」欄の表記によっている。このため、本統計の国籍・地域の名称は、平成29年1月から在留管理制度に基づく法務省「在留外国人統計」の国籍・地域の名称に合わせている。,,
