地域階層,地域コード,国・地域(人),総数,中国,韓国,フィリピン,ベトナム,ネパール,台湾,米国,インド,ミャンマー,タイ,その他,前年同月との比較／総数,前年同月との比較／増減数
0,13000,総数,504804,192109,90173,31307,30705,24834,17767,17351,10788,9169,7815,72786,468666,36138
1,13100,区部,425701,164622,76879,23475,25536,21920,15271,14233,10002,8729,6338,58696,395461,30240
4,13101,千代田区,2783,1126,427,62,53,55,168,179,81,13,42,577,2680,103
4,13102,中央区,6630,2749,1282,134,162,124,311,347,274,33,83,1131,5793,837
4,13103,港区,19362,3628,3397,1035,124,110,671,3103,639,52,175,6428,18970,392
4,13104,新宿区,41986,13379,10089,726,3613,3663,1864,1031,231,2069,730,4591,39783,2203
4,13105,文京区,9287,3736,1682,231,594,325,431,308,97,263,201,1419,8773,514
4,13106,台東区,14706,6136,3193,722,747,648,467,248,707,122,338,1378,14379,327
4,13107,墨田区,11781,5389,1950,1300,553,319,369,162,93,93,379,1174,11159,622
4,13108,江東区,27064,13326,4435,1508,928,575,589,443,1812,343,371,2734,25252,1812
4,13109,品川区,12116,3941,2324,799,462,718,525,556,412,239,190,1950,11461,655
4,13110,目黒区,8300,1589,1509,520,128,259,427,882,184,50,157,2595,7991,309
4,13111,大田区,22273,7694,3505,2373,1196,2108,944,593,258,257,417,2928,20863,1410
4,13112,世田谷区,19209,5013,4177,826,684,458,882,1535,457,113,261,4803,17666,1543
4,13113,渋谷区,10061,1731,1540,312,279,197,598,1309,173,62,176,3684,9751,310
4,13114,中野区,16761,5734,2922,453,1723,1442,924,475,112,376,248,2352,14815,1946
4,13115,杉並区,15363,5039,2580,445,1255,1724,889,680,99,156,223,2273,13724,1639
4,13116,豊島区,28063,12066,2460,462,3445,3164,1247,396,147,2007,295,2374,25868,2195
4,13117,北区,20410,9601,2363,817,1766,1246,512,237,178,919,168,2603,18613,1797
4,13118,荒川区,18299,7039,5201,536,1794,1037,343,158,102,489,151,1449,17266,1033
4,13119,板橋区,23590,12596,3036,1431,1352,931,850,286,99,327,285,2397,21330,2260
4,13120,練馬区,17263,6903,4057,1020,600,575,677,555,123,124,274,2355,15445,1818
4,13121,足立区,28600,12068,7324,3545,1083,405,535,256,137,109,432,2706,26620,1980
4,13122,葛飾区,19731,10064,3105,1591,971,835,377,177,86,223,249,2053,17820,1911
4,13123,江戸川区,32063,14075,4321,2627,2024,1002,671,317,3501,290,493,2742,29439,2624
1,13200,市部,78010,27348,13143,7549,5051,2910,2485,3049,778,436,1439,13822,72192,5818
4,13201,八王子市,11735,4460,1796,1275,698,519,301,286,117,76,181,2026,10765,970
4,13202,立川市,3974,1765,725,337,168,147,91,123,58,6,47,507,3699,275
4,13203,武蔵野市,2930,944,528,80,107,125,166,323,37,10,51,559,2708,222
4,13204,三鷹市,3465,1142,675,171,143,70,164,300,46,35,54,665,3195,270
4,13205,青梅市,1711,329,213,401,183,36,81,57,10,2,59,340,1619,92
4,13206,府中市,4819,1665,779,503,181,71,193,226,34,40,109,1018,4569,250
4,13207,昭島市,2546,726,483,312,242,214,45,61,51,7,26,379,2406,140
4,13208,調布市,4196,1479,1057,298,185,82,182,151,54,44,94,570,3840,356
4,13209,町田市,5802,2211,935,561,295,102,165,215,61,15,121,1121,5292,510
4,13210,小金井市,2442,1017,280,116,122,126,74,162,25,15,51,454,2270,172
4,13211,小平市,4860,1592,1048,269,224,110,158,112,41,14,83,1209,4411,449
4,13212,日野市,2960,1145,473,241,355,96,59,76,14,59,77,365,2790,170
4,13213,東村山市,2657,980,465,243,137,133,76,45,11,14,48,505,2395,262
4,13214,国分寺市,1972,849,343,97,81,130,80,68,5,3,20,296,1880,92
4,13215,国立市,1550,549,313,86,65,96,64,65,15,6,26,265,1495,55
4,13218,福生市,3629,710,225,378,916,503,96,97,36,4,104,560,3262,367
4,13219,狛江市,1238,454,193,104,58,82,33,62,15,5,38,194,1138,100
4,13220,東大和市,1106,368,188,247,18,22,27,24,5,1,18,188,1084,22
4,13221,清瀬市,1167,415,150,189,57,41,33,31,5,16,24,206,1127,40
4,13222,東久留米市,1892,585,301,253,64,34,47,217,51,3,36,301,1814,78
4,13223,武蔵村山市,1549,558,151,342,198,9,17,39,3,2,28,202,1395,154
4,13224,多摩市,2440,1012,494,223,119,60,63,61,25,20,27,336,2322,118
4,13225,稲城市,1231,398,248,178,59,22,34,28,6,0,23,235,1143,88
4,13227,羽村市,1280,191,99,264,54,18,20,48,9,1,17,559,1182,98
4,13228,あきる野市,741,126,120,108,121,6,26,51,2,0,20,161,695,46
4,13229,西東京市,4118,1678,861,273,201,56,190,121,42,38,57,601,3696,422
1,13550,町村部,1093,139,151,283,118,4,11,69,8,4,38,268,1013,80
2,13300,郡部,833,125,71,219,106,4,10,54,8,3,31,202,760,73
4,13303,瑞穂町,706,106,49,193,96,3,9,30,7,3,26,184,644,62
4,13305,日の出町,89,15,13,19,4,1,1,19,1,0,4,12,77,12
4,13307,檜原村,11,0,6,2,0,0,0,3,0,0,0,0,10,1
4,13308,奥多摩町,27,4,3,5,6,0,0,2,0,0,1,6,29,-2
2,13350,島部,260,14,80,64,12,0,1,15,0,1,7,66,253,7
3,13360,大島支庁,90,9,10,5,5,0,0,5,0,1,5,50,81,9
3,13380,三宅支庁,41,0,19,15,4,0,0,0,0,0,0,3,46,-5
3,13400,八丈支庁,104,3,43,42,0,0,1,3,0,0,2,10,104,0
3,13420,小笠原支庁,25,2,8,2,3,0,0,7,0,0,0,3,22,3
,,,,,,,,,,,,,,,,
外国人人口　平成29年7月,,,,,,,,,,,,,,,,
第１表　区市町村別国籍・地域別外国人人口 (上位10か国・地域) （平成29年7月１日現在）,,,,,,,,,,,,,,,,
注１)住民票に記載される国籍・地域の名称は在留管理制度に基づく在留カード等の「国籍・地域」欄の表記によっている。このため、本統計の国籍・地域の名称は、平成29年1月から在留管理制度に基づく法務省「在留外国人統計」の国籍・地域の名称に合わせており、平成28年10月までの本統計の「中国」には台湾を含んでいる。,,,,,,,,,,,,,,,,
注２）上位10か国・地域とは、平成29年１月１日現在で外国人人口の多い順の国・地域である。,,,,,,,,,,,,,,,,
注３）人口規模を考慮し、島部町村については、支庁単位の集計とした。各支庁管内の町村は次のとおり。大島支庁：大島町、利島村、新島村、神津島村。　八丈支庁 ：八丈町、青ヶ島村。三宅支庁 ：三宅村、御蔵島村。小笠原支庁：小笠原村。,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,,
