"年度","ねずみ防除対策 生息状況調査及び防除件数","ねずみ防除対策 防除機器交付件数","ねずみ防除対策 苦情相談処理件数","衛生害虫防除対策 発生状況調査及び防除件数","衛生害虫防除対策 防除機器貸出件数","衛生害虫防除対策 苦情相談処理件数"
"2017","22","6","120","1739","0","393"
"2018","10","11","180","787","0","323"
"2019","10","78","212","869","0","320"
"2020","9","35","132","633","0","165"
"2021","11","29","112","867","0","124"

"令和4年度港区行政資料集　ねずみ・衛生害虫防除対策状況","Ver202203",,,,,
