初心運転者（普通免許取得者）の交通事故状況（令和5年）,,,
,,,
教  習  所,卒　業　者　数,事　故　人　員,事　故　者　率
尾　　　久,1238,1,0.08%
池　　　上,2188,4,0.18%
今　　　井,1521,2,0.13%
江　戸　川,1494,3,0.20%
ト　ヨ　タ,3109,6,0.19%
豊　　　島,1024,1,0.10%
東　　　急,2329,8,0.34%
秋　　　津,2599,10,0.38%
むさし小金井,1177,7,0.59%
調　　　布,2565,4,0.16%
日　の　丸,3029,6,0.20%
和　　　泉,988,1,0.10%
小　金　井,3055,6,0.20%
平　和　橋,1132,2,0.18%
金　　　町,1609,8,0.50%
蒲　　　田,503,0,0.00%
王　　　子,1061,1,0.09%
飛 鳥 日 野,1586,3,0.19%
田　　　無,281,0,0.00%
府　　　中,211,0,0.00%
武　蔵　境,5649,7,0.12%
新　東　京,2539,10,0.39%
大　　　泉,715,1,0.14%
拝　　　島,1153,8,0.69%
世　田　谷,831,0,0.00%
京　　　成,1096,1,0.09%
二 子 玉 川,6562,9,0.14%
東京島しょ部,5,0,0.00%
石　神　井,4117,7,0.17%
八王子中央,1749,4,0.23%
葛　西　橋,2246,3,0.13%
成　　　城,3098,8,0.26%
伊 豆 大 島,243,2,0.82%
足　　　立,2213,2,0.09%
竹　の　塚,3613,11,0.30%
北　足　立,317,0,0.00%
東 久 留 米,1021,2,0.20%
新　小　岩,993,6,0.60%
北 豊 島 園,2876,8,0.28%
町　　　田,1496,5,0.33%
多　　　摩,2383,4,0.17%
西　多　摩,1549,3,0.19%
東京センチュリー,92,2,2.17%
合　　　計,79255,176,0.22%
