,,,,,,,,,(単位：トン）,,,
年次,合計,,,外貿,,,内貿,,,,,
,計,出貨,入貨,計,輸出,輸入,計,移出,移入,,,
昭和 2年(1927),"2,314,299","218,443","2,095,856",,,,,,,,,
　　 3年(1928),"2,787,604","264,920","2,522,684",,,,,,,,,
　　 4年(1929),"2,967,792","274,413","2,693,379",,,,,,,,,
　　 5年(1930),"2,892,403","327,917","2,564,486",,,,,,,,,
　　 6年(1931),"3,819,440","352,813","3,466,627",,,,,,,,,
　　 7年(1932),"4,392,019","421,104","3,970,915",,,,,,,,,
　　 8年(1933),"5,065,627","596,382","4,469,245",,,,,,,,,
　　 9年(1934),"5,741,110","763,315","4,977,795",,,,,,,,,
　　10年(1935),"6,041,543","769,509","5,272,034",,,,,,,,,
　　11年(1936),"6,373,677","801,979","5,571,698",,,,,,,,,
　　12年(1937),"6,755,053","885,756","5,869,297",,,,,,,,,
　　13年(1938),"7,239,576","904,532","6,335,044",,,,,,,,,
　　14年(1939),"7,676,137","936,313","6,739,824",,　戦前の統計が本船のみの統計であるため、,,,,,,,
　　15年(1940),"8,311,867","865,225","7,446,642",,比較のために昭和３０年までの本船のみの,,,,,,,
　　16年(1941),"7,364,782","715,880","6,648,902",,集計とした。,,,,,,,
　　17年(1942),"5,156,423","503,573","4,652,850",,　なお、本船とは概ね第２区区域（竹芝、,,,,,,,
　　18年(1943),"2,623,183","280,903","2,342,280",,日の出、芝浦、豊洲、晴海等）に係留した,,,,,,,
　　19年(1944),"410,580","75,472","335,108",,総トン数５００トン以上の船舶であって、,,,,,,,
　　20年(1945),"232,161",不　明,不　明,,都有施設（中央市場を除く）を使用したもの,,,,,,,
　　21年(1946),"849,879","180,315","669,564",,である。,,,,,,,
　　22年(1947),"1,162,735","110,050","1,052,685",,,,,,,,,
　　23年(1948),"1,526,389","107,717","1,418,672",,,,,,,,,
　　24年(1949),"1,660,037","120,615","1,539,422",,,,,,,,,
　　25年(1950),"2,762,748","231,905","2,530,843",,,,,,,,,
　　26年(1951),"3,658,874","287,699","3,371,175",,,,,,,,,
　　27年(1952),"3,414,348","251,958","3,162,390",,,,,,,,,
　　28年(1953),"5,033,604","272,090","4,761,514",,,,,,,,,
　　29年(1954),"5,285,328","356,097","4,929,231",,,,,,,,,
　　30年(1955),"5,707,836","418,360","5,289,476",,,,,,,,,
　　31年(1956),"12,134,270","1,687,612","10,446,658","2,560,162","53,682","2,506,480","9,574,108","1,633,930","7,940,178",,,
　　32年(1957),"14,604,831","1,886,303","12,718,528","3,160,256","60,353","3,099,903","11,444,575","1,825,950","9,618,625",,,
　　33年(1958),"13,570,825","1,631,479","11,939,346","2,889,240","86,392","2,802,848","10,681,585","1,545,087","9,136,498",,,
　　34年(1959),"17,492,475","2,266,727","15,225,748","3,979,845","133,039","3,846,806","13,512,630","2,133,688","11,378,942",,,
　　35年(1960),"21,295,215","3,426,801","17,868,414","4,259,497","112,690","4,146,807","17,035,718","3,314,111","13,721,607",,,
　　36年(1961),"25,629,175","3,746,431","21,882,744","5,516,379","65,812","5,450,567","20,112,796","3,680,619","16,432,177",,,
　　37年(1962),"25,559,033","3,504,527","22,054,506","5,223,257","101,148","5,122,109","20,335,776","3,403,379","16,932,397",,,
　　38年(1963),"27,197,080","3,318,649","23,878,431","6,162,475","106,295","6,056,180","21,034,605","3,212,354","17,822,251",,,
　　39年(1964),"30,494,623","3,790,532","26,704,091","6,219,312","84,832","6,134,480","24,275,311","3,705,700","20,569,611",,,
