,,,,(単位：トン）,,
品種,,民間,,,,
,,合計,,,,
,,計,輸出,輸入,,
合計,,"2,548,565","494,507","2,054,058",,
農水産品,,"561,372","1,420","559,952",,
1,麦,30,-,30,,
2,米,-,-,-,,
3,とうもろこし,30,-,30,,
4,豆類,"1,121",-,"1,121",,
5,その他雑穀,-,-,-,,
6,野菜・果物,"515,974",55,"515,919",,
7,綿花,-,-,-,,
8,その他農産品,"8,599",109,"8,490",,
9,羊毛,60,-,60,,
10,その他畜産品,"17,590",758,"16,832",,
11,水産品,"17,968",498,"17,470",,
林産品,,"48,944","8,416","40,528",,
12,原木,223,-,223,,
13,製材,"46,623","8,403","38,220",,
14,樹脂類,-,-,-,,
15,木材チップ,30,-,30,,
16,その他林産品,43,13,30,,
17,薪炭,"2,025",-,"2,025",,
鉱産品,,"25,567","3,248","22,319",,
18,石炭,"1,245",-,"1,245",,
19,鉄鉱石,-,-,-,,
20,金属鉱,-,-,-,,
21,砂利・砂,510,45,465,,
22,石材,"21,308","2,145","19,163",,
23,原油,-,-,-,,
24,りん鉱石,-,-,-,,
25,石灰石,585,-,585,,
26,原塩,75,-,75,,
27,非金属鉱物,"1,844","1,058",786,,
金属機械工業品,,"620,005","121,250","498,755",,
28,鉄鋼,524,15,509,,
29,鋼材,"3,447","1,664","1,783",,
30,非鉄金属,"6,114",756,"5,358",,
31,金属製品,"81,098","6,681","74,417",,
32,鉄道車両,-,-,-,,
33,完成自動車,686,30,656,,
34,その他輸送用車両,"5,637",25,"5,612",,
35,二輪自動車,262,19,243,,
36,自動車部品,"85,857","38,024","47,833",,
37,その他輸送機械,"6,597",595,"6,002",,
38,産業機械,"175,979","46,694","129,285",,
39,電気機械,"215,969","17,044","198,925",,
40,測量・光学・医療用機械,"21,632","8,309","13,323",,
41,事務用機器,"15,084","1,340","13,744",,
42,その他機械,"1,119",54,"1,065",,
化学工業品,,"186,040","79,326","106,714",,
43,陶磁器,"4,670",68,"4,602",,
44,セメント,"1,395",15,"1,380",,
45,ガラス類,"29,359",352,"29,007",,
46,窯業品,"5,610","2,064","3,546",,
47,重油,-,-,-,,
48,揮発油,-,-,-,,
49,その他の石油,942,91,851,,
50,LNG/液化天然ガス,-,-,-,,
51,LPG/液化石油ガス,-,-,-,,
52,その他石油製品,"1,030",196,834,,
53,コークス,-,-,-,,
54,石炭製品,165,-,165,,
55,化学薬品,"22,641","6,334","16,307",,
56,化学肥料,"3,347",-,"3,347",,
57,その他化学工業品,"116,881","70,206","46,675",,
軽工業品,,"147,552","9,469","138,083",,
58,紙・パルプ,"40,058","1,830","38,228",,
59,糸及び紡績半製品,"1,040",166,874,,
60,その他繊維工業品,"14,804","3,543","11,261",,
61,砂糖,117,-,117,,
62,製造食品,"82,932","3,076","79,856",,
63,飲料,"7,718",824,"6,894",,
64,水,195,30,165,,
65,たばこ,105,-,105,,
66,その他食料工業品,583,-,583,,
雑工業品,,"676,402","26,241","650,161",,
67,がん具,"29,627",779,"28,848",,
68,衣服・身廻品・はきもの,"370,170","2,453","367,717",,
69,文房具・運動娯楽用品・楽器,"60,037","4,552","55,485",,
70,家具装備品,"120,847","2,117","118,730",,
71,その他日用品,"13,701","1,289","12,412",,
72,ゴム製品,"13,628","3,027","10,601",,
73,木製品,"39,870",421,"39,449",,
74,その他製造工業品,"28,522","11,603","16,919",,
特殊品,,"282,683","245,137","37,546",,
75,金属くず,"4,392","2,260","2,132",,
76,再利用資材,"216,325","216,115",210,,
77,動植物性製造飼肥料,"4,330",151,"4,179",,
78,廃棄物,-,-,-,,
79,廃土砂,-,-,-,,
80,輸送用容器,"50,551","22,594","27,957",,
81,取合せ品,"7,085","4,017","3,068",,
分類不能のもの,,-,-,-,,
