,,,,,,,,,,,,,,,(単位：トン）
年月,合計,,,外貿,,,,,,内貿,,,,,
,,,,計,,,, うちコンテナ貨物,,計,,,うちカーフェリー,,
,計,出貨,入貨,計,輸出,輸入,計,輸出,輸入,計,移出,移入,計,移出,移入
平成29年(2017年),"90,780,146","29,300,368","61,479,778","50,116,156","13,508,587","36,607,569","48,151,899","12,950,374","35,201,525","40,663,990","15,791,781","24,872,209","10,085,730","5,396,175","4,689,555"
　　　１月　,"6,990,458","2,069,395","4,921,063","3,944,531","915,431","3,029,100","3,786,228","877,148","2,909,080","3,045,927","1,153,964","1,891,963","747,365","408,745","338,620"
　　　２月　,"6,697,580","2,357,754","4,339,826","3,462,486","1,148,147","2,314,339","3,376,853","1,123,236","2,253,617","3,235,094","1,209,607","2,025,487","791,395","423,550","367,845"
　　　３月　,"8,270,979","2,723,507","5,547,472","4,648,456","1,298,732","3,349,724","4,532,021","1,252,322","3,279,699","3,622,523","1,424,775","2,197,748","920,750","494,960","425,790"
　　　４月　,"7,627,564","2,575,478","5,052,086","4,158,993","1,212,772","2,946,221","4,000,332","1,160,515","2,839,817","3,468,571","1,362,706","2,105,865","880,690","455,660","425,030"
　　　５月　,"7,329,062","2,328,645","5,000,417","4,125,303","1,045,923","3,079,380","3,970,636","1,012,455","2,958,181","3,203,759","1,282,722","1,921,037","740,545","402,920","337,625"
　　　６月　,"7,624,714","2,511,862","5,112,852","4,154,705","1,135,145","3,019,560","3,997,386","1,093,770","2,903,616","3,470,009","1,376,717","2,093,292","821,860","448,005","373,855"
　　　７月　,"7,839,805","2,529,675","5,310,130","4,321,954","1,142,363","3,179,591","4,114,963","1,106,346","3,008,617","3,517,851","1,387,312","2,130,539","865,455","456,900","408,555"
　　　８月　,"7,246,400","2,285,310","4,961,090","4,110,217","1,039,495","3,070,722","3,964,062","995,303","2,968,759","3,136,183","1,245,815","1,890,368","758,185","426,410","331,775"
　　　９月　,"7,651,290","2,490,105","5,161,185","4,173,531","1,133,908","3,039,623","4,021,490","1,093,056","2,928,434","3,477,759","1,356,197","2,121,562","897,195","474,350","422,845"
　　１０月　,"7,294,218","2,334,489","4,959,729","4,038,989","1,065,038","2,973,951","3,850,649","992,971","2,857,678","3,255,229","1,269,451","1,985,778","828,970","433,405","395,565"
　　１１月　,"8,184,212","2,530,619","5,653,593","4,592,500","1,154,444","3,438,056","4,368,157","1,071,638","3,296,519","3,591,712","1,376,175","2,215,537","898,215","481,870","416,345"
　　１２月　,"8,023,864","2,563,529","5,460,335","4,384,491","1,217,189","3,167,302","4,169,122","1,171,614","2,997,508","3,639,373","1,346,340","2,293,033","935,105","489,400","445,705"
平成30年(2018年),"91,543,456","29,040,080","62,503,376","49,825,795","13,288,658","36,537,137","47,981,969","12,770,411","35,211,558","41,717,661","15,751,422","25,966,239","10,868,450","5,675,580","5,192,870"
,100.8%,99.1%,101.7%,99.4%,98.4%,99.8%,99.6%,98.6%,100.0%,102.6%,99.7%,104.4%,107.8%,105.2%,110.7%
　　　１月　,"7,134,542","2,138,595","4,995,947","3,972,814","906,141","3,066,673","3,841,822","877,238","2,964,584","3,161,728","1,232,454","1,929,274","740,975","395,720","345,255"
,102.1%,103.3%,101.5%,100.7%,99.0%,101.2%,101.5%,100.0%,101.9%,103.8%,106.8%,102.0%,99.1%,96.8%,102.0%
