,,,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,,,
品種,,ヨーロッパ,,,,,,北アメリカ,,,,,,,,,,,,,,品種,,,,,,
,,ジョージア,,,,モンテネグロ,,計,カナダ,,,,,,,,,,アメリカ,,,,,,,,,
,,小計,バツーミ,ポティ,"諸港
（ジョージア）",小計,"諸港
(モンテネグロ)",,小計,"シャーロット
タウン",ハリファクス,ケベック,モントリオール,トロント,ハミルトン,"プリンス
ルーパート",バンクーバー,諸港(カナダ),小計,"ポートランド,
メーン州",ボストン,,,,,,,
合計,,130,55,45,30,30,30,"3,010,400","145,826",15,"5,011",213,"1,935","4,906",3,180,"130,694","2,869","2,841,018",93,"3,611",合計,,,,,,
農水産品,,-,-,-,-,-,-,"15,770","6,090",-,"4,197",-,-,172,-,-,"1,687",34,"9,470",-,535,農水産品,,,,,,
1,麦,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,麦,,,,,
2,米,-,-,-,-,-,-,"1,444",194,-,-,-,-,-,-,-,194,-,"1,250",-,7,2,米,,,,,
3,とうもろこし,-,-,-,-,-,-,60,-,-,-,-,-,-,-,-,-,-,60,-,-,3,とうもろこし,,,,,
4,豆類,-,-,-,-,-,-,233,-,-,-,-,-,-,-,-,-,-,233,-,-,4,豆類,,,,,
5,その他雑穀,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-,19,-,-,5,その他雑穀,,,,,
6,野菜・果物,-,-,-,-,-,-,788,124,-,-,-,-,-,-,-,120,4,664,-,-,6,野菜・果物,,,,,
7,綿花,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,綿花,,,,,
8,その他農産品,-,-,-,-,-,-,"1,221",110,-,-,-,-,5,-,-,105,-,"1,111",-,-,8,その他農産品,,,,,
9,羊毛,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,羊毛,,,,,
10,その他畜産品,-,-,-,-,-,-,689,8,-,-,-,-,-,-,-,8,-,681,-,-,10,その他畜産品,,,,,
11,水産品,-,-,-,-,-,-,"11,316","5,654",-,"4,197",-,-,167,-,-,"1,260",30,"5,452",-,528,11,水産品,,,,,
林産品,,-,-,-,-,-,-,915,14,-,-,-,1,9,-,-,-,4,901,-,-,林産品,,,,,,
12,原木,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,原木,,,,,
13,製材,-,-,-,-,-,-,781,1,-,-,-,1,-,-,-,-,-,780,-,-,13,製材,,,,,
14,樹脂類,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,樹脂類,,,,,
15,木材チップ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,木材チップ,,,,,
16,その他林産品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,その他林産品,,,,,
17,薪炭,-,-,-,-,-,-,134,13,-,-,-,-,9,-,-,-,4,121,-,-,17,薪炭,,,,,
鉱産品,,-,-,-,-,-,-,"1,039",5,-,-,-,-,4,-,-,1,-,"1,034",-,-,鉱産品,,,,,,
18,石炭,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,石炭,,,,,
19,鉄鉱石,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,21,-,-,19,鉄鉱石,,,,,
20,金属鉱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,金属鉱,,,,,
21,砂利・砂,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-,-,-,23,-,-,21,砂利・砂,,,,,
22,石材,-,-,-,-,-,-,60,-,-,-,-,-,-,-,-,-,-,60,-,-,22,石材,,,,,
23,原油,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,原油,,,,,
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,りん鉱石,,,,,
25,石灰石,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,石灰石,,,,,
26,原塩,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,-,-,-,-,26,原塩,,,,,
27,非金属鉱物,-,-,-,-,-,-,934,4,-,-,-,-,4,-,-,-,-,930,-,-,27,非金属鉱物,,,,,
金属機械工業品,,70,10,30,30,-,-,"2,089,776","81,282",-,366,211,441,"1,837",-,-,"77,015","1,412","1,997,121",2,582,金属機械工業品,,,,,,
28,鉄鋼,-,-,-,-,-,-,"2,403",10,-,-,-,1,5,-,-,4,-,"2,393",-,-,28,鉄鋼,,,,,
29,鋼材,-,-,-,-,-,-,"44,228","3,503",-,-,211,1,-,-,-,"3,146",145,"40,679",-,-,29,鋼材,,,,,
30,非鉄金属,-,-,-,-,-,-,"19,862",985,-,-,-,1,3,-,-,981,-,"18,873",-,8,30,非鉄金属,,,,,
31,金属製品,60,-,30,30,-,-,"78,294","3,010",-,31,-,70,633,-,-,"2,124",152,"75,036",-,52,31,金属製品,,,,,
32,鉄道車両,-,-,-,-,-,-,628,270,-,-,-,-,-,-,-,270,-,358,-,-,32,鉄道車両,,,,,
33,完成自動車,-,-,-,-,-,-,"9,189","2,483",-,-,-,-,1,-,-,"2,482",-,"6,673",-,-,33,完成自動車,,,,,
34,その他輸送用車両,-,-,-,-,-,-,743,215,-,-,-,-,1,-,-,214,-,521,-,-,34,その他輸送用車両,,,,,
35,二輪自動車,-,-,-,-,-,-,"1,188",10,-,-,-,-,-,-,-,10,-,"1,163",-,-,35,二輪自動車,,,,,
36,自動車部品,-,-,-,-,-,-,"960,338","9,342",-,-,-,13,42,-,-,"9,084",203,"948,642",2,-,36,自動車部品,,,,,
37,その他輸送機械,-,-,-,-,-,-,"29,153",234,-,120,-,11,26,-,-,77,-,"28,797",-,38,37,その他輸送機械,,,,,
38,産業機械,10,10,-,-,-,-,"704,910","56,376",-,215,-,292,996,-,-,"54,163",710,"642,531",-,182,38,産業機械,,,,,
39,電気機械,-,-,-,-,-,-,"171,217","3,056",-,-,-,41,78,-,-,"2,902",35,"165,789",-,36,39,電気機械,,,,,
40,測量・光学・医療用機械,-,-,-,-,-,-,"59,446","1,717",-,-,-,8,52,-,-,"1,499",158,"57,620",-,266,40,測量・光学・医療用機械,,,,,
41,事務用機器,-,-,-,-,-,-,"6,258",26,-,-,-,3,-,-,-,14,9,"6,172",-,-,41,事務用機器,,,,,
42,その他機械,-,-,-,-,-,-,"1,919",45,-,-,-,-,-,-,-,45,-,"1,874",-,-,42,その他機械,,,,,
化学工業品,,-,-,-,-,30,30,"381,338","15,198",-,3,-,"1,039","1,073",3,30,"12,528",522,"360,056",91,"1,963",化学工業品,,,,,,
43,陶磁器,-,-,-,-,-,-,"6,148",241,-,-,-,-,4,-,-,237,-,"5,906",-,-,43,陶磁器,,,,,
