,,,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,,,
品種,,輸入合計,アジア,,,,,,,,,,,,,,,,,,,品種,,,,,,
,,,計,韓国,,,,,,,,,,中国,,,,,,,,,,,,,,
,,,,小計,仁川,群山,釜山,浦項,光陽,蔚山,馬山,平沢,諸港(韓国),小計,香港,大連,秦皇島,天津,青島,連雲港,上海,,,,,,,
合計,,"36,537,137","27,238,261","1,415,963","81,523","4,895","1,167,522","22,940","91,195","37,564","5,169","1,885","3,270","15,413,935","1,916,136","804,591","9,046",600,"1,754,391","196,278","4,002,587",合計,,,,,,
農水産品,,"5,177,585","2,507,771","73,405",75,-,"72,505",-,825,-,-,-,-,"1,216,336","221,071","88,702",748,-,"403,323","23,889","75,984",農水産品,,,,,,
1,麦,"269,929","1,061",281,-,-,281,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,麦,,,,,
2,米,"20,803","5,338",1,-,-,1,-,-,-,-,-,-,225,-,225,-,-,-,-,-,2,米,,,,,
3,とうもろこし,"7,044",279,30,-,-,30,-,-,-,-,-,-,54,30,9,-,-,-,-,-,3,とうもろこし,,,,,
4,豆類,"148,961","7,094","1,575",-,-,"1,575",-,-,-,-,-,-,"3,095","1,275",495,180,-,225,-,590,4,豆類,,,,,
5,その他雑穀,"7,314",375,-,-,-,-,-,-,-,-,-,-,360,-,195,-,-,-,-,-,5,その他雑穀,,,,,
6,野菜・果物,"1,890,769","1,299,477","14,986",-,-,"14,986",-,-,-,-,-,-,"623,084","8,358","10,055",240,-,"301,615","21,583","52,077",6,野菜・果物,,,,,
7,綿花,381,276,-,-,-,-,-,-,-,-,-,-,34,-,-,-,-,-,-,-,7,綿花,,,,,
8,その他農産品,"233,330","159,487","2,105",30,-,"2,075",-,-,-,-,-,-,"86,043","1,193","6,717",-,-,"37,847","1,740","11,871",8,その他農産品,,,,,
9,羊毛,833,222,-,-,-,-,-,-,-,-,-,-,117,-,-,-,-,-,-,90,9,羊毛,,,,,
10,その他畜産品,"1,670,650","368,669","11,292",-,-,"11,292",-,-,-,-,-,-,"182,979","170,202",542,60,-,"3,057",345,"5,651",10,その他畜産品,,,,,
11,水産品,"927,571","665,493","43,135",45,-,"42,265",-,825,-,-,-,-,"320,345","40,013","70,464",268,-,"60,579",221,"5,705",11,水産品,,,,,
林産品,,"1,118,763","255,340","27,927",342,-,"27,585",-,-,-,-,-,-,"53,877","5,448","5,825",-,-,"2,742","1,044","15,383",林産品,,,,,,
12,原木,"3,587","2,078",-,-,-,-,-,-,-,-,-,-,"1,697",15,-,-,-,-,-,689,12,原木,,,,,
13,製材,"972,664","121,524","27,887",342,-,"27,545",-,-,-,-,-,-,"31,144","5,079","4,370",-,-,"1,977",204,"7,114",13,製材,,,,,
14,樹脂類,"78,588","77,558",-,-,-,-,-,-,-,-,-,-,899,39,-,-,-,-,-,860,14,樹脂類,,,,,
15,木材チップ,"13,192","3,968",25,-,-,25,-,-,-,-,-,-,465,30,255,-,-,-,-,120,15,木材チップ,,,,,
16,その他林産品,784,624,-,-,-,-,-,-,-,-,-,-,144,30,-,-,-,-,-,114,16,その他林産品,,,,,
17,薪炭,"49,948","49,588",15,-,-,15,-,-,-,-,-,-,"19,528",255,"1,200",-,-,765,840,"6,486",17,薪炭,,,,,
鉱産品,,"448,219","243,787","4,031",75,-,"3,221",-,225,510,-,-,-,"160,817","14,002","13,477",-,-,"10,232",345,"6,967",鉱産品,,,,,,
18,石炭,"116,719","15,085",135,-,-,135,-,-,-,-,-,-,"4,427",360,510,-,-,480,255,987,18,石炭,,,,,
19,鉄鉱石,228,175,-,-,-,-,-,-,-,-,-,-,175,-,-,-,-,-,-,-,19,鉄鉱石,,,,,
20,金属鉱,"9,758","3,880",90,-,-,90,-,-,-,-,-,-,"2,320",660,-,-,-,-,30,120,20,金属鉱,,,,,
21,砂利・砂,"25,148","19,637",675,-,-,210,-,-,465,-,-,-,"14,957",90,"2,865",-,-,"2,415",60,140,21,砂利・砂,,,,,
22,石材,"94,961","88,401",630,15,-,615,-,-,-,-,-,-,"74,900","2,904","2,657",-,-,"5,573",-,"1,844",22,石材,,,,,
23,原油,"1,920",795,-,-,-,-,-,-,-,-,-,-,165,90,15,-,-,60,-,-,23,原油,,,,,
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,りん鉱石,,,,,
25,石灰石,"2,879","2,625",-,-,-,-,-,-,-,-,-,-,"1,365",-,-,-,-,-,-,"1,320",25,石灰石,,,,,
26,原塩,"10,446","6,847",90,30,-,45,-,15,-,-,-,-,"5,544",30,-,-,-,879,-,675,26,原塩,,,,,
