,,,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,,,
品種,,アジア,,,,,,,,,,,,,,,,,,,,品種,,,,,,
,,フィリピン,,,,,,,カンボジア,,,,,ミャンマー,,,インド,,,,,,,,,,,
,,カガヤン,バタンガス,"ジェネラル
サントス",サンタクルス,カビテ,"マニラサウス
ハーバー","諸港
（フィリピン）",小計,プノンペン,コンポンソム,シアヌークヴィル,"諸港
（カンボジア）",小計,ヤンゴン,"諸港
(ミャンマー)",小計,カルカッタ,ビシャカパトナム,チェンナイ,ツチコリン,,,,,,,
合計,,316,"4,869","3,868",30,"1,008","44,319","43,419","7,323","1,554",280,"5,337",152,"11,366","7,180","4,186","356,363","26,020","11,907","58,202",298,合計,,,,,,
農水産品,,-,-,"3,726",-,-,165,"8,483",311,-,-,311,-,63,63,-,136,60,-,-,-,農水産品,,,,,,
1,麦,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,麦,,,,,
2,米,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,米,,,,,
3,とうもろこし,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,-,-,-,-,3,とうもろこし,,,,,
4,豆類,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,豆類,,,,,
5,その他雑穀,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,その他雑穀,,,,,
6,野菜・果物,-,-,-,-,-,-,-,30,-,-,30,-,-,-,-,-,-,-,-,-,6,野菜・果物,,,,,
7,綿花,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,綿花,,,,,
8,その他農産品,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,1,-,-,-,-,8,その他農産品,,,,,
9,羊毛,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,羊毛,,,,,
10,その他畜産品,-,-,-,-,-,-,-,270,-,-,270,-,-,-,-,-,-,-,-,-,10,その他畜産品,,,,,
11,水産品,-,-,"3,726",-,-,165,"8,478",11,-,-,11,-,63,63,-,75,60,-,-,-,11,水産品,,,,,
林産品,,-,-,-,-,-,"3,565",-,-,-,-,-,-,-,-,-,-,-,-,-,-,林産品,,,,,,
12,原木,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,原木,,,,,
13,製材,-,-,-,-,-,"3,565",-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,製材,,,,,
14,樹脂類,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,樹脂類,,,,,
15,木材チップ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,木材チップ,,,,,
