,,,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,,,
品種,,北アメリカ,,,,,,,,,,,,,,,,,,,,品種,,,,,,
,,アメリカ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,フィラデルフィア,ボルチモア,"ウィルミントン,
ノースカロライナ州",チャールストン,サバンナ,ジャクソンビル,マイアミ,ノーフォーク,シカゴ,モビール,ニューオリンズ,ヒューストン,ダッチハーバー,シアトル,エヴァレット,タコマ,ロングビュー,"ポートランド,
オレゴン州",オークランド,ロサンゼルス,,,,,,,
合計,,189,508,40,"124,178","98,494","26,362",584,"266,383",90,"1,252",81,"4,901","35,791","17,136",735,"1,024,685","11,571","61,177","985,128","1,142,304",合計,,,,,,
農水産品,,159,12,-,"7,844","16,539","9,675",29,"30,951",-,-,-,-,"35,185","7,828",-,"106,727",-,"61,177","701,714","212,807",農水産品,,,,,,
1,麦,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,780,-,"61,177",360,105,1,麦,,,,,
2,米,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"15,465",-,2,米,,,,,
3,とうもろこし,-,-,-,-,-,-,-,90,-,-,-,-,-,-,-,405,-,-,612,"3,148",3,とうもろこし,,,,,
4,豆類,-,-,-,-,"5,960",-,-,"10,515",-,-,-,-,-,"3,896",-,"6,019",-,-,450,"13,147",4,豆類,,,,,
5,その他雑穀,-,-,-,-,-,-,-,240,-,-,-,-,-,-,-,"5,799",-,-,60,390,5,その他雑穀,,,,,
6,野菜・果物,-,-,-,-,75,"9,675",-,-,-,-,-,-,-,563,-,"42,922",-,-,"144,015","74,733",6,野菜・果物,,,,,
7,綿花,-,-,-,-,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,7,綿花,,,,,
8,その他農産品,-,-,-,"1,594","10,219",-,-,"7,960",-,-,-,-,-,-,-,"8,218",-,-,"6,352","2,179",8,その他農産品,,,,,
9,羊毛,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,羊毛,,,,,
10,その他畜産品,159,-,-,"6,250",225,-,-,"12,146",-,-,-,-,-,"2,079",-,"30,502",-,-,"532,508","116,389",10,その他畜産品,,,,,
11,水産品,-,12,-,-,-,-,29,-,-,-,-,-,"35,185","1,290",-,"12,082",-,-,"1,892","2,686",11,水産品,,,,,
林産品,,-,30,-,82,60,150,-,"1,254",-,-,-,-,-,940,-,"69,146",-,-,54,668,林産品,,,,,,
12,原木,-,-,-,-,-,-,-,117,-,-,-,-,-,-,-,-,-,-,-,-,12,原木,,,,,
13,製材,-,30,-,82,60,150,-,"1,107",-,-,-,-,-,940,-,"68,591",-,-,41,430,13,製材,,,,,
14,樹脂類,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,183,14,樹脂類,,,,,
15,木材チップ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,225,-,-,13,25,15,木材チップ,,,,,
16,その他林産品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,その他林産品,,,,,
17,薪炭,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,330,-,-,-,30,17,薪炭,,,,,
鉱産品,,-,45,-,"1,878","11,898",45,-,"2,761",-,-,30,557,30,15,-,203,-,-,"1,827","4,164",鉱産品,,,,,,
18,石炭,-,-,-,-,-,-,-,"1,379",-,-,-,-,-,-,-,-,-,-,-,-,18,石炭,,,,,
19,鉄鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,鉄鉱石,,,,,
20,金属鉱,-,-,-,-,60,-,-,75,-,-,-,-,-,-,-,81,-,-,345,92,20,金属鉱,,,,,
21,砂利・砂,-,-,-,"1,500",60,-,-,647,-,-,30,-,-,-,-,-,-,-,815,454,21,砂利・砂,,,,,
22,石材,-,45,-,57,-,-,-,-,-,-,-,-,30,-,-,55,-,-,-,175,22,石材,,,,,
23,原油,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,"1,050",23,原油,,,,,
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,りん鉱石,,,,,
25,石灰石,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,232,-,25,石灰石,,,,,
26,原塩,-,-,-,-,-,-,-,90,-,-,-,-,-,-,-,-,-,-,30,443,26,原塩,,,,,
27,非金属鉱物,-,-,-,321,"11,778",45,-,555,-,-,-,557,-,15,-,67,-,-,405,"1,950",27,非金属鉱物,,,,,
金属機械工業品,,-,20,-,"18,833","9,279",559,83,"20,291",15,15,-,94,-,328,15,"19,951",-,-,"16,137","152,675",金属機械工業品,,,,,,
28,鉄鋼,-,-,-,-,-,-,-,104,-,-,-,-,-,-,-,-,-,-,-,28,28,鉄鋼,,,,,
29,鋼材,-,-,-,150,15,-,-,187,-,-,-,-,-,-,-,160,-,-,363,"2,525",29,鋼材,,,,,
30,非鉄金属,-,-,-,437,96,-,15,203,-,-,-,-,-,24,-,"1,045",-,-,467,"7,118",30,非鉄金属,,,,,
31,金属製品,-,8,-,"10,009","2,012",40,-,"3,857",-,-,-,9,-,90,15,"8,837",-,-,"1,632","45,508",31,金属製品,,,,,
32,鉄道車両,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,30,-,-,-,49,32,鉄道車両,,,,,
