,,,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,,,
品種,,南アメリカ,,,,,,,,,,,,アフリカ,,,,,,,,品種,,,,,,
,,ブラジル,,,アルゼンチン,,,,,ウルグアイ,,パラグアイ,,計,モロッコ,,,,アルジェリア,,チュニジア,,,,,,,
,,マナウス,"セペティバ及
びイタグアイ",諸港(ブラジル）,小計,ブエノスアイレス,ウシュアイア,サラテ,"諸港(アル
ゼンチン）",小計,モンテビデオ,小計,アスンシオン,,小計,タンジール,カサブランカ,諸港(モロッコ),小計,アルジェ,小計,,,,,,,
37,その他輸送機械,"3,387",-,570,-,-,-,-,-,-,-,-,-,818,1,-,1,-,-,-,2,37,その他輸送機械,,,,,
38,産業機械,"1,444",-,638,264,264,-,-,-,24,24,-,-,"5,424",50,12,17,21,-,-,254,38,産業機械,,,,,
39,電気機械,"1,676",-,758,355,344,11,-,-,96,96,3,3,684,43,43,-,-,222,222,-,39,電気機械,,,,,
40,測量・光学・医療用機械,"1,842",-,382,121,106,-,-,15,12,12,-,-,326,11,-,11,-,28,28,-,40,測量・光学・医療用機械,,,,,
41,事務用機器,-,-,2,16,16,-,-,-,-,-,-,-,86,-,-,-,-,-,-,1,41,事務用機器,,,,,
42,その他機械,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,その他機械,,,,,
化学工業品,,"1,198",-,778,621,621,-,-,-,57,57,-,-,"3,974",733,733,-,-,-,-,15,化学工業品,,,,,,
43,陶磁器,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,43,陶磁器,,,,,
44,セメント,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,セメント,,,,,
45,ガラス類,-,-,-,225,225,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,ガラス類,,,,,
46,窯業品,133,-,390,3,3,-,-,-,-,-,-,-,47,-,-,-,-,-,-,-,46,窯業品,,,,,
47,重油,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,重油,,,,,
48,揮発油,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,揮発油,,,,,
49,その他の石油,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,その他の石油,,,,,
50,LNG/液化天然ガス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,LNG/液化天然ガス,,,,,
51,LPG/液化石油ガス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,LPG/液化石油ガス,,,,,
52,その他石油製品,-,-,-,-,-,-,-,-,-,-,-,-,38,-,-,-,-,-,-,-,52,その他石油製品,,,,,
53,コークス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,コークス,,,,,
54,石炭製品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54,石炭製品,,,,,
55,化学薬品,65,-,45,149,149,-,-,-,-,-,-,-,744,-,-,-,-,-,-,-,55,化学薬品,,,,,
56,化学肥料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,化学肥料,,,,,
57,その他化学工業品,999,-,328,244,244,-,-,-,57,57,-,-,"3,143",733,733,-,-,-,-,15,57,その他化学工業品,,,,,
軽工業品,,-,-,22,112,8,-,104,-,-,-,-,-,"1,013",-,-,-,-,-,-,-,軽工業品,,,,,,
58,紙・パルプ,-,-,1,-,-,-,-,-,-,-,-,-,288,-,-,-,-,-,-,-,58,紙・パルプ,,,,,
59,糸及び紡績半製品,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,59,糸及び紡績半製品,,,,,
60,その他繊維工業品,-,-,6,-,-,-,-,-,-,-,-,-,58,-,-,-,-,-,-,-,60,その他繊維工業品,,,,,
61,砂糖,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61,砂糖,,,,,
62,製造食品,-,-,15,95,6,-,89,-,-,-,-,-,619,-,-,-,-,-,-,-,62,製造食品,,,,,
63,飲料,-,-,-,17,2,-,15,-,-,-,-,-,38,-,-,-,-,-,-,-,63,飲料,,,,,
64,水,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64,水,,,,,
65,たばこ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,65,たばこ,,,,,
66,その他食料工業品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66,その他食料工業品,,,,,
雑工業品,,339,-,314,170,158,-,-,12,551,551,360,360,"2,402",186,-,186,-,-,-,7,雑工業品,,,,,,
67,がん具,-,-,-,12,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,67,がん具,,,,,
68,衣服・身廻品・はきもの,-,-,-,-,-,-,-,-,-,-,-,-,413,-,-,-,-,-,-,-,68,衣服・身廻品・はきもの,,,,,
69,文房具・運動娯楽用品・楽器,3,-,-,117,117,-,-,-,9,9,-,-,638,180,-,180,-,-,-,1,69,文房具・運動娯楽用品・楽器,,,,,
70,家具装備品,4,-,7,6,6,-,-,-,-,-,-,-,25,1,-,1,-,-,-,-,70,家具装備品,,,,,
71,その他日用品,38,-,3,2,2,-,-,-,-,-,-,-,360,5,-,5,-,-,-,6,71,その他日用品,,,,,
72,ゴム製品,294,-,302,-,-,-,-,-,539,539,360,360,936,-,-,-,-,-,-,-,72,ゴム製品,,,,,
73,木製品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73,木製品,,,,,
74,その他製造工業品,-,-,2,33,33,-,-,-,3,3,-,-,30,-,-,-,-,-,-,-,74,その他製造工業品,,,,,
特殊品,,151,-,-,36,36,-,-,-,-,-,-,-,"3,153",-,-,-,-,-,-,-,特殊品,,,,,,
75,金属くず,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75,金属くず,,,,,
76,再利用資材,-,-,-,-,-,-,-,-,-,-,-,-,"2,955",-,-,-,-,-,-,-,76,再利用資材,,,,,
77,動植物性製造飼肥料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77,動植物性製造飼肥料,,,,,
78,廃棄物,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,廃棄物,,,,,
79,廃土砂,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79,廃土砂,,,,,
80,輸送用容器,-,-,-,-,-,-,-,-,-,-,-,-,121,-,-,-,-,-,-,-,80,輸送用容器,,,,,
81,取合せ品,151,-,-,36,36,-,-,-,-,-,-,-,77,-,-,-,-,-,-,-,81,取合せ品,,,,,
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,分類不能のもの,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
