,,,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,,,
品種,,南アメリカ,,,,,,,,,,,,,,,,,,,,品種,,,,,,
,,ペルー,,,チリ,,,,,,,,,ブラジル,,,,,,,,,,,,,,
,,カヤオ,イキトス,諸港(ペルー),小計,アリカ,イクイケ,アントファガスタ,バルパライソ,サンアントニオ,リルケン,コロネル,諸港(チリ),小計,サルバドル,ビトリア,リオデジャネイロ,サントス,パラナグァ,リオグランデ,"イタジャイ及び
ナヴェガンテス",,,,,,,
合計,,666,1,56,"3,407",104,"1,550",45,690,392,83,15,528,"71,954",151,121,350,"39,504",517,650,286,合計,,,,,,
農水産品,,-,-,-,83,-,-,-,-,-,83,-,-,220,-,-,-,6,-,-,-,農水産品,,,,,,
1,麦,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,麦,,,,,
2,米,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,米,,,,,
3,とうもろこし,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,とうもろこし,,,,,
4,豆類,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,豆類,,,,,
5,その他雑穀,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,その他雑穀,,,,,
6,野菜・果物,-,-,-,31,-,-,-,-,-,31,-,-,-,-,-,-,-,-,-,-,6,野菜・果物,,,,,
7,綿花,-,-,-,-,　,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,綿花,,,,,
8,その他農産品,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,6,-,-,-,8,その他農産品,,,,,
9,羊毛,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,羊毛,,,,,
10,その他畜産品,-,-,-,-,-,-,-,-,-,-,-,-,214,-,-,-,-,-,-,-,10,その他畜産品,,,,,
11,水産品,-,-,-,52,-,-,-,-,-,52,-,-,-,-,-,-,-,-,-,-,11,水産品,,,,,
林産品,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,林産品,,,,,,
