,,,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,,,
品種,,  　        アジア,,,,,,,,,,,,,,,,,,,,品種,,,,,,
,,ベトナム,,,,,タイ,,,,,マレーシア,,,,,,,,,,,,,,,,
,,クイニヨン,ヴンタウ,カイラン,カイメップ,諸港(ベトナム),小計,バンコク,ソンクラー,レムチャバン,諸港(タイ),小計,クアンタン,ペナン,ポートケラン,タワウ,コタキナバル,ミーリ,ビンツーロー,クチン,パシールグダン,,,,,,,
合計,,562,"36,448",762,"521,217","253,500","2,432,799","246,222","12,536","2,174,019",22,"933,421","11,694","132,924","639,170","7,716",682,105,"5,054",720,"101,190",合計,,,,,,
農水産品,,-,"1,671",-,"76,655","19,996","213,740","31,423","6,513","175,782",22,"24,765",157,"1,196","21,980",-,-,-,-,690,30,農水産品,,,,,,
1,麦,-,-,-,-,-,-,-,-,-,-,120,-,-,120,-,-,-,-,-,-,1,麦,,,,,
2,米,-,-,-,-,-,"3,825","1,440",-,"2,385",-,-,-,-,-,-,-,-,-,-,-,2,米,,,,,
3,とうもろこし,-,-,-,-,-,75,30,-,45,-,-,-,-,-,-,-,-,-,-,-,3,とうもろこし,,,,,
4,豆類,-,-,-,-,-,270,15,-,255,-,255,-,-,150,-,-,-,-,-,-,4,豆類,,,,,
5,その他雑穀,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,その他雑穀,,,,,
6,野菜・果物,-,201,-,"5,894","1,289","26,699","2,301",-,"24,398",-,"1,230",-,-,"1,230",-,-,-,-,-,-,6,野菜・果物,,,,,
7,綿花,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,綿花,,,,,
8,その他農産品,-,132,-,"12,746","2,100","8,762","5,137",-,"3,625",-,"4,016",-,-,"3,326",-,-,-,-,690,-,8,その他農産品,,,,,
9,羊毛,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,羊毛,,,,,
10,その他畜産品,-,-,-,14,-,"114,231","19,353",-,"94,878",-,"9,843",-,623,"9,220",-,-,-,-,-,-,10,その他畜産品,,,,,
11,水産品,-,"1,338",-,"58,001","16,607","59,878","3,147","6,513","50,196",22,"9,301",157,573,"7,934",-,-,-,-,-,30,11,水産品,,,,,
林産品,,-,30,-,646,"1,635","5,423","2,025",-,"3,398",-,"54,022",12,"7,830","34,250","6,426",468,-,570,30,"1,966",林産品,,,,,,
12,原木,-,-,-,-,-,15,15,-,-,-,144,-,-,144,-,-,-,-,-,-,12,原木,,,,,
13,製材,-,30,-,46,105,381,-,-,381,-,"34,501",12,345,"25,801","6,081",286,-,-,-,"1,936",13,製材,,,,,
