,,,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,,,
品種,,南アメリカ,,,,,,,,,,,,,,,,,,,,品種,,,,,,
,,コロンビア,,,エクアドル,,,ペルー,,,チリ,,,,,,,,,,,,,,,,,
,,カルタヘナ,ブエナベンツラ,"諸港
(コロンビア）",小計,グァヤキル,"諸港
(エクアドル）",小計,パイタ,カヤオ,小計,アリカ,イクイケ,バルパライソ,サンアントニオ,プエルトモント,プンタ　アレナス,リルケン,サン　ビセンテ,コロネル,諸港(チリ),,,,,,,
合計,,255,15,15,328,327,1,"27,893",279,"27,614","371,818",139,"1,472","104,005","79,382",870,"1,518","176,024",150,"4,125","4,133",合計,,,,,,
農水産品,,15,-,-,150,150,-,"15,149",229,"14,920","188,259",77,450,"29,996","25,839",870,"1,518","126,181",150,"2,762",416,農水産品,,,,,,
1,麦,-,-,-,-,-,-,-,-,-,240,-,-,-,-,-,-,165,-,75,-,1,麦,,,,,
2,米,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,米,,,,,
3,とうもろこし,-,-,-,-,-,-,"1,164",-,"1,164",-,-,-,-,-,-,-,-,-,-,-,3,とうもろこし,,,,,
4,豆類,-,-,-,-,-,-,57,-,57,-,-,-,-,-,-,-,-,-,-,-,4,豆類,,,,,
5,その他雑穀,-,-,-,-,-,-,225,-,225,-,-,-,-,-,-,-,-,-,-,-,5,その他雑穀,,,,,
6,野菜・果物,15,-,-,30,30,-,"11,157",-,"11,157","37,618",-,-,"16,772","14,835",-,-,"5,609",-,387,15,6,野菜・果物,,,,,
7,綿花,-,-,-,-,-,-,15,-,15,-,-,-,-,-,-,-,-,-,-,-,7,綿花,,,,,
8,その他農産品,-,-,-,-,-,-,535,-,535,"2,340",-,-,182,214,-,-,"1,794",-,150,-,8,その他農産品,,,,,
9,羊毛,-,-,-,-,-,-,116,-,116,-,-,-,-,-,-,-,-,-,-,-,9,羊毛,,,,,
10,その他畜産品,-,-,-,-,-,-,15,-,15,"20,653",-,-,"10,231","9,926",-,-,496,-,-,-,10,その他畜産品,,,,,
