,,,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,,,
品種,, 　         アジア,,,,,,,,,,,,,,,,,,,,品種,,,,,,
,,          中国,,,,,,,,,,,,,,,,,,,,,,,,,,
,,仙頭,黄埔,湛江,南通,張家港,福州,寧波－舟山,温州,煙台,厦門,北海,海口,江門,南京,泉州,梧州,武漢,安慶,赤湾,重慶,,,,,,,
合計,,"21,189","91,520","3,187","24,838","86,019","100,573","588,783","3,216","415,319","670,033",37,"4,110","6,498","132,483",285,30,"30,231","5,335",45,"6,628",合計,,,,,,
農水産品,,-,-,135,120,120,"3,850","41,812",-,"168,738","62,736",15,"1,155",-,207,255,-,232,-,-,-,農水産品,,,,,,
1,麦,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,麦,,,,,
2,米,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,米,,,,,
3,とうもろこし,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,3,とうもろこし,,,,,
4,豆類,-,-,-,-,-,-,-,-,75,150,-,-,-,-,-,-,-,-,-,-,4,豆類,,,,,
5,その他雑穀,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,その他雑穀,,,,,
6,野菜・果物,-,-,-,-,120,"2,183","17,272",-,"93,270","53,559",-,-,-,15,255,-,-,-,-,-,6,野菜・果物,,,,,
7,綿花,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,綿花,,,,,
8,その他農産品,-,-,-,-,-,15,218,-,"11,625","3,994",-,-,-,120,-,-,15,-,-,-,8,その他農産品,,,,,
9,羊毛,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,9,羊毛,,,,,
10,その他畜産品,-,-,-,90,-,30,763,-,90,136,-,-,-,72,-,-,105,-,-,-,10,その他畜産品,,,,,
11,水産品,-,-,135,30,-,"1,622","23,531",-,"63,678","4,897",15,"1,155",-,-,-,-,112,-,-,-,11,水産品,,,,,
林産品,,-,630,-,-,11,180,"3,930",-,430,"4,567",-,-,-,30,-,-,-,-,-,-,林産品,,,,,,
12,原木,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,原木,,,,,
13,製材,-,-,-,-,11,-,"1,560",-,40,"2,542",-,-,-,-,-,-,-,-,-,-,13,製材,,,,,
14,樹脂類,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,樹脂類,,,,,
15,木材チップ,-,-,-,-,-,-,-,-,-,45,-,-,-,-,-,-,-,-,-,-,15,木材チップ,,,,,
16,その他林産品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,その他林産品,,,,,
