,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,
品種,,計,,,,,,        外貿,,,,,,内貿,,,,,,品種,,,
,,計,コンテナ化率,出貨,コンテナ化率,入貨,コンテナ化率,計,コンテナ化率,輸出,コンテナ化率,輸入,コンテナ化率,計,コンテナ化率,移出,コンテナ化率,移入,コンテナ化率,,,,
合計,,"91,543,456",55.7%,"29,040,080",50.0%,"62,503,376",58.3%,"49,825,795",96.3%,"13,288,658",96.1%,"36,537,137",96.4%,"41,717,661",7.1%,"15,751,422",11.2%,"25,966,239",4.7%,合計,,,
農水産品,,"5,899,529",81.9%,"537,162",84.1%,"5,362,367",81.7%,"5,495,119",84.4%,"317,534",99.7%,"5,177,585",83.5%,"404,410",48.1%,"219,628",61.5%,"184,782",32.2%,農水産品,,,
1,麦,"357,174",10.9%,"14,415",81.5%,"342,759",7.9%,"269,947",9.5%,18,100.0%,"269,929",9.5%,"87,227",15.1%,"14,397",81.5%,"72,830",2.0%,1,麦,,
2,米,"71,093",37.4%,"36,060",10.2%,"35,033",65.5%,"23,948",100.0%,"3,145",100.0%,"20,803",100.0%,"47,145",5.7%,"32,915",1.7%,"14,230",15.0%,2,米,,
3,とうもろこし,"8,898",100.0%,"1,854",100.0%,"7,044",100.0%,"7,164",100.0%,120,100.0%,"7,044",100.0%,"1,734",100.0%,"1,734",100.0%,-,-,3,とうもろこし,,
4,豆類,"168,727",97.4%,"14,996",93.3%,"153,731",97.8%,"149,303",100.0%,342,100.0%,"148,961",100.0%,"19,424",77.6%,"14,654",93.1%,"4,770",30.0%,4,豆類,,
5,その他雑穀,"8,648",99.4%,"1,069",100.0%,"7,579",99.3%,"7,333",100.0%,19,100.0%,"7,314",100.0%,"1,315",96.2%,"1,050",100.0%,265,81.1%,5,その他雑穀,,
6,野菜・果物,"2,064,169",68.2%,"119,709",74.3%,"1,944,460",67.8%,"1,925,366",68.5%,"34,597",99.8%,"1,890,769",67.9%,"138,803",63.6%,"85,112",63.8%,"53,691",63.3%,6,野菜・果物,,
7,綿花,476,97.9%,85,88.2%,391,100.0%,381,100.0%,-,-,381,100.0%,95,89.5%,85,88.2%,10,100.0%,7,綿花,,
8,その他農産品,"254,550",98.9%,"18,249",92.8%,"236,301",99.4%,"241,629",100.0%,"8,299",100.0%,"233,330",100.0%,"12,921",78.5%,"9,950",86.8%,"2,971",50.5%,8,その他農産品,,
9,羊毛,959,100.0%,126,100.0%,833,100.0%,833,100.0%,-,-,833,100.0%,126,100.0%,126,100.0%,-,-,9,羊毛,,
10,その他畜産品,"1,740,884",99.3%,"59,454",86.2%,"1,681,430",99.7%,"1,705,841",100.0%,"35,191",100.0%,"1,670,650",100.0%,"35,043",64.3%,"24,263",66.2%,"10,780",60.1%,10,その他畜産品,,
11,水産品,"1,223,951",97.9%,"271,145",96.6%,"952,806",98.2%,"1,163,374",99.6%,"235,803",99.6%,"927,571",99.6%,"60,577",65.0%,"35,342",76.6%,"25,235",48.8%,11,水産品,,
林産品,,"1,260,547",86.4%,"112,618",72.4%,"1,147,929",87.7%,"1,142,773",89.9%,"24,010",100.0%,"1,118,763",89.7%,"117,774",52.4%,"88,608",64.9%,"29,166",14.4%,林産品,,,
12,原木,"6,594",99.7%,"2,987",100.0%,"3,607",99.4%,"6,457",100.0%,"2,870",100.0%,"3,587",100.0%,137,85.4%,117,100.0%,20,-,12,原木,,
13,製材,"1,084,870",85.9%,"94,647",77.9%,"990,223",86.6%,"993,093",88.3%,"20,429",100.0%,"972,664",88.1%,"91,777",59.0%,"74,218",71.8%,"17,559",5.3%,13,製材,,
14,樹脂類,"98,452",86.4%,"11,197",33.3%,"87,255",93.3%,"78,935",100.0%,347,100.0%,"78,588",100.0%,"19,517",31.6%,"10,850",31.2%,"8,667",32.2%,14,樹脂類,,
15,木材チップ,"14,222",93.9%,146,100.0%,"14,076",93.8%,"13,315",100.0%,123,100.0%,"13,192",100.0%,907,3.6%,23,100.0%,884,1.1%,15,木材チップ,,
16,その他林産品,"5,895",28.2%,"3,130",13.7%,"2,765",44.5%,864,100.0%,80,100.0%,784,100.0%,"5,031",15.8%,"3,050",11.5%,"1,981",22.5%,16,その他林産品,,
