"選挙名称","合計[人]","開票率[%]","残票[票]","無効票[票]","按分切捨て票[票]","不足票[票]","不受理票[票]","投票者数[人]"
"令和2年7月5日執行　東京都知事選挙","97582","100","0","1334","0","1","0","98917"

"令和2年7月5日執行　東京都知事選挙開票結果","Ver202007",,,,,,,
