"届出番号","届出政党","候補者名","23:50 確定[人]"
"1","自由民主党","辻　清人","7350"
"2","立憲民主党","松尾　あきひろ","4646"
"3","希望の党","はとやま　太郎","2798"

"平成29年10月22日執行　衆議院小選挙区選出議員選挙第2区開票推移","Ver201710",,
