"年度[西暦]","認可工場数 環境確保条例[件]","指定作業場数 環境確保条例[件]","特定工場等数 騒音規制法[件]","特定工場等数 振動規制法[件]"
"2018","724","1649","1390","224"
"2019","707","1647","1401","222"
"2020","696","1657","1409","218"
"2021","679","1615","1402","212"
"2022","670","1618","1415","207"

"令和5年度港区行政資料集　法令による認可工場等","Ver202303",,,
