"年月[西暦]","施設名称","施設所在地","施設方書","施設廃止日","緯度","経度"
"202304","西麻布整骨院","東京都港区西麻布二丁目13番17号","辰己レジデンス103","2023/3/31","35.662907","139.720669"
"202304","ＬＯＯＰＬＥ（ループル）整骨院南麻布","東京都港区南麻布二丁目5番21号","イデア南麻布1階","2023/3/31","35.650020","139.737024"
"202305","Ｋ　整骨院","東京都港区麻布十番一丁目4番8号","マドモアゼルビル703","2023/5/30","35.657019","139.734687"
"202305","ルーブル整骨院","東京都港区白金台三丁目16番8号","クレール白金台2階","2023/4/30","35.636183","139.723342"
"202306","麻布十番整骨院","東京都港区南麻布一丁目14番2号","渡辺ビル1階","2023/6/26","35.651213","139.734334"
"202307","メディカル整骨院","東京都港区西麻布二丁目21番3号",,"2023/7/11","35.661668","139.718923"
"202309","ふれあい整骨院","東京都港区高輪三丁目14番33号","グランバリュー高輪1階","2023/9/26","35.633867","139.732807"
"202310","赤坂山王整骨院","東京都港区赤坂七丁目5番34号","インペリアル赤坂フォーラム1階","2023/9/30","35.671156","139.730276"
"202310","リライフ整骨院","東京都港区新橋三丁目11番9号","烏森通りビル3階","2023/9/30","35.666281","139.755725"
"202402","ＰＴ麻布十番駅前整骨院","東京都港区麻布十番二丁目8番7号","M2K Holding BLD1F","2024/2/9","35.655502","139.734772"
"202402","麻布接骨院","東京都港区東麻布三丁目8番11号","2階","2016/12/31","35.656533","139.73743"
"202403","青山３丁目整骨院　大仁堂","東京都港区北青山三丁目3番7号","第一青山ビル2階","2024/3/29","35.668363","139.714833"

"施術所（柔整）廃止一覧(令和6年3月31日現在)","Ver202403",,,,,
