"科目","金額[百万円]"
"年度","2018"
"期間（自）","20180401"
"期間（至）","20190331"
"業務活動収支 業務支出","178013"
"業務活動収支 業務支出 業務費用支出","78446"
"業務活動収支 業務支出 業務費用支出 人件費支出","21719"
"業務活動収支 業務支出 業務費用支出 物件費等支出","48005"
"業務活動収支 業務支出 業務費用支出 支払利息支出","32"
"業務活動収支 業務支出 業務費用支出 その他の支出","8690"
"業務活動収支 業務支出 移転費用支出","99567"
"業務活動収支 業務支出 移転費用支出 補助金等支出","77654"
"業務活動収支 業務支出 移転費用支出 社会保障給付支出","21632"
"業務活動収支 業務支出 移転費用支出 他会計への繰出支出","0"
"業務活動収支 業務支出 移転費用支出 その他の支出","282"
"業務活動収支 業務収入","201086"
"業務活動収支 業務収入 税収等収入","135452"
"業務活動収支 業務収入 国都等補助金収入","47421"
"業務活動収支 業務収入 使用料及び手数料収入","8284"
"業務活動収支 業務収入 その他の収入","9930"
"業務活動収支 臨時支出","0"
"業務活動収支 臨時支出 災害復旧事業費支出","-"
"業務活動収支 臨時支出 その他の支出","0"
"業務活動収支 臨時収入","0"
"業務活動収支","23073"
"投資活動収支 投資活動支出","36223"
"投資活動収支 投資活動支出 公共施設等整備費支出","14832"
"投資活動収支 投資活動支出 基金積立金支出","20152"
"投資活動収支 投資活動支出 投資及び出資金支出","748"
"投資活動収支 投資活動支出 貸付金支出","491"
"投資活動収支 投資活動支出 その他の支出","-"
"投資活動収支 投資活動収入","13439"
"投資活動収支 投資活動収入 国都等補助金収入","2867"
"投資活動収支 投資活動収入 基金取崩収入","9362"
"投資活動収支 投資活動収入 貸付金元金回収収入","495"
"投資活動収支 投資活動収入 資産売却収入","1"
"投資活動収支 投資活動収入 その他の収入","714"
"投資活動収支","-22784"
"財務活動収支 財務活動支出","1102"
"財務活動収支 財務活動支出 地方債等償還支出","504"
"財務活動収支 財務活動支出 その他の支出","599"
"財務活動収支 財務活動収入","153"
"財務活動収支 財務活動収入 地方債等発行収入","153"
"財務活動収支 財務活動収入 その他の収入","-"
"財務活動収支","-949"
"本年度資金収支額","-661"
"前年度末資金残高","13721"
"比例連結割合変更に伴う差額","-3"
"本年度末資金残高","13057"
"前年度末歳計外現金残高","6731"
"本年度歳計外現金増減額","464"
"本年度末歳計外現金残高","7195"
"本年度末現金預金残高","20252"

"連結会計財務書類（資金収支計算書）(平成30年4月1日から平成31年3月31日)","Ver201903"
