一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準累計,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
571,羽村市羽加美4-2-9,35.765480,139.300278,JGD2011,都道立川青梅線（奥多摩街道）,a,2010-05-13,2010-05-14,4,2,1.5,1.2,69,63
572,羽村市羽加美1-29-5,35.768400,139.307700,JGD2011,都道立川青梅線（新奥多摩街道）,b,2010-05-13,2010-05-14,4,2,3.5,1.2,66,62
573,羽村市富士見平2-20-1,35.762592,139.325638,JGD2011,都道羽村瑞穂線（羽村街道）,a,2010-05-18,2010-05-18,4,4,2.5,1.2,65,-
574,羽村市緑ヶ丘5-2-1,35.767163,139.311026,JGD2011,羽村市道第１０１号線（市役所通り）,c,2010-05-10,2010-05-10,6,2,2.5,1.2,70,-
575,羽村市緑ヶ丘2-18-5,35.764785,139.319662,JGD2011,羽村市道第１０３号線（水道道路）,a,2010-05-12,2010-05-12,6,2,3.4,1.2,64,-
576,羽村市羽加美4-2-9,35.765480,139.300278,JGD2011,都道立川青梅線（奥多摩街道）,a,2010-11-11,2010-11-12,4,2,1.5,1.2,69,64
577,羽村市羽加美1-29-5,35.768400,139.307700,JGD2011,都道立川青梅線（新奥多摩街道）,b,2010-11-11,2010-11-12,4,2,3.5,1.2,65,61
578,羽村市富士見平2-20-1,35.762592,139.325638,JGD2011,都道羽村瑞穂線（羽村街道）,a,2010-11-09,2010-11-09,4,4,2.5,1.2,65,-
579,羽村市緑ヶ丘5-2-1,35.767163,139.311026,JGD2011,羽村市道第１０１号線（市役所通り）,c,2010-11-08,2010-11-08,6,2,2.5,1.2,67,-
580,羽村市緑ヶ丘2-18-5,35.764785,139.319662,JGD2011,羽村市道第１０３号線（水道道路）,a,2010-11-10,2010-11-10,6,2,3.4,1.2,65,-
