一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(Leq)(dB),夜間等価騒音レベル(Leq)(dB)
482,小金井市桜町3-1-3,35.712772,139.512405,JGD2011,都道７号線（五日市街道）,a,2010-10-14,2010-10-15,4,2,1.9,1.3,69,67
483,小金井市本町4-12-40,35.706596,139.507935,JGD2011,都道１５号線（小金井街道）,c,2010-10-18,2010-10-19,4,2,3.5,1.3,68,65
484,小金井市貫井北町5-16-13,35.702953,139.488663,JGD2011,都道１３４号線（連雀通り）,a,2010-10-06,2010-10-07,4,2,3.0,1.3,66,63
485,小金井市貫井南町2-2-25,35.692650,139.497910,JGD2011,都道２４８号線（新小金井街道）,b,2010-10-13,2010-10-14,4,2,4.5,1.3,66,64
486,小金井市前原町4-11-40,35.689171,139.505386,JGD2011,都道１４号線（東八道路）,b,2010-10-12,2010-10-13,4,4,4.5,1.3,67,63
487,小金井市本町4-12,35.706532,139.505981,JGD2011,都道府中清瀬線,C,2010-10-18,2010-10-19,4,4,2.9,1.2,67,64
488,小平市中島町26-9,35.729717,139.434265,JGD2011,都道中島十番線（村山街道）,a,2010-11-24,2010-11-25,4,2,2,1.2,67,63
489,小平市上水本町1-25-31,35.720364,139.464783,JGD2011,都道所沢府中線（府中街道）,a,2010-11-24,2010-11-25,4,2,2,1.2,69,68
490,小平市上水本町3-11-11,35.717648,139.470566,JGD2011,都道杉並あきる野線（五日市街道）,a,2010-11-24,2010-11-25,4,2,2,1.2,66,62
491,小平市鈴木町1-487,35.718842,139.496735,JGD2011,都道府中清瀬線（新小金井街道）,a,2010-11-24,2010-11-25,4,2,5,1.2,70,68
492,小平市花小金井5-463,35.733681,139.512436,JGD2011,都道新宿青梅線（青梅街道）,a,2010-11-24,2010-11-25,4,2,3,1.2,68,65
494,小平市回田町386,35.714573,139.498016,JGD2011,都道杉並あきるの線,A,2010-10-18,2010-10-19,4,2,4.5,1.2,64,61
495,小平市上水本町1-25,35.719688,139.464127,JGD2011,都道所沢府中線,A,2010-10-18,2010-10-19,4,2,2.5,1.2,68,67
496,小平市大沼町1-1,35.735401,139.492844,JGD2011,都道小平停車場中新田線,A,2010-10-18,2010-10-19,4,2,3.8,1.2,63,58
497,小平市鈴木町1-205,35.724052,139.497375,JGD2011,都道府中小平線,A,2010-10-18,2010-10-19,4,2,4.7,1.2,68,65
501,日野市石田1-11-1,35.668066,139.420638,JGD2011,都道５０３号線（相模原立川線）,a,2010-12-08,2010-12-15,4,3,4,1.3,65,60
502,日野市三沢1-19-1,35.659542,139.421097,JGD2011,都道稲城日野線（川崎街道）,a,2010-12-15,2010-12-22,4,2,5,1.3,62,60
503,日野市旭が丘1-8,35.657703,139.375183,JGD2011,都道１５５号線（町田平山八王子線）,a,2011-01-05,2011-01-12,4,3,3,1.3,67,62
504,日野市平山5-12-16,35.647003,139.383423,JGD2011,都道１７３号線（北野街道）,c,2011-01-12,2011-01-19,4,2,2,1.3,69,67
505,日野市平山3-8-8,35.646694,139.385310,JGD2011,都道１５５号線（町田平山八王子線）,a,2011-01-19,2011-01-26,4,2,2,1.3,68,63
506,日野市日野本町7-5-14,35.678725,139.399515,JGD2011,都道２５６号線（八王子国立線）,a,2011-02-02,2011-02-09,4,2,2,1.3,66,62
508,東村山市本町2-6-5,35.762195,139.467231,JGD2011,都道１６号線（府中街道）,c,2010-12-16,2010-12-17,4,2,3.1,1.2,68,67
511,国分寺市並木町2-33-15,35.716751,139.450421,JGD2011,都道７号線（五日市街道）,a,2010-12-09,2010-12-15,4,2,2.9,1.2,69,67
512,国分寺市東恋ヶ窪5-16-5,35.712213,139.467212,JGD2011,都道１７号線（府中街道）,c,2010-12-09,2010-12-15,4,2,2,1.2,69,68
513,国分寺市南町2-5,35.697422,139.482513,JGD2011,都道１３３号線（国分寺街道）,c,2010-12-09,2010-12-15,4,2,1,1.2,69,65
517,国分寺市内藤16-15,35.695946,139.458115,JGD2011,都道１４５号線（多喜窪通り）,c,2010-12-09,2010-12-15,4,2,1.5,1.2,68,64
