一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(Leq)(dB),夜間等価騒音レベル(Leq)(dB)
581,あきる野市小川638,35.721107,139.317123,JGD2011,都道１６６号線（瑞穂あきる野八王子線）a,a,2010-10-14,2010-10-15,4,2,1,1.2,69,65
583,あきる野市舘谷230,35.731209,139.230316,JGD2011,都道杉並あきる野線（五日市街道）,c,2010-10-14,2010-10-15,4,4,3,1.2,65,58
584,あきる野市小川836,35.720715,139.319839,JGD2011,都道杉並あきる野線（睦橋通り）,b,2010-10-14,2010-10-15,4,4,3,1.2,66,62
585,あきる野市引田553,35.724789,139.267441,JGD2011,都道杉並あきる野線,B,2010-11-04,2010-11-05,4,4,5,1.2,69,63
586,あきる野市荷田子乙津,35.724284,139.180189,JGD2011,都道上野原あきる野線,B,2010-11-04,2010-11-05,4,2,3.5,1.2,66,59
587,あきる野市山田935,35.725582,139.255447,JGD2011,都道山田宮の前線,A,2010-11-04,2010-11-05,4,2,1.5,1.2,69,63
588,あきる野市瀬戸岡115,35.736153,139.292786,JGD2011,都道伊那福生線,A,2010-11-04,2010-11-05,4,2,2,1.2,67,60
589,西東京市住吉町6-1-5,35.743546,139.550903,JGD2011,都道保谷志木線,a,2011-01-24,2011-01-25,4,2,1.2,1.2,71,66
590,西東京市泉町3-12-35,35.741112,139.557114,JGD2011,都道東大泉田無線,a,2011-01-24,2011-01-25,4,2,2.8,1.2,68,66
591,西東京市保谷町1-19-11,35.732121,139.554703,JGD2011,都道杉並田無線(新青梅街道),b,2011-01-24,2011-01-25,4,2,2.5,1.2,69,66
592,西東京市谷戸町1-17-2,35.741058,139.543610,JGD2011,都道ひばりが丘停車場線,a,2011-01-24,2011-01-25,4,2,4.2,1.2,66,62
593,西東京市向台町2-5,35.720837,139.542542,JGD2011,都道調布田無線(武蔵境通り),a,2011-01-24,2011-01-25,4,2,4.7,1.2,65,64
594,西東京市柳沢2-18-46,35.725296,139.553818,JGD2011,都道東京所沢線(青梅街道),c,2011-01-24,2011-01-25,4,6,3.0,1.2,68,65
596,西東京市田無町7-3-30,35.730293,139.531357,JGD2011,都道新宿青梅線(青梅街道),c,2011-01-12,2011-01-13,4,2,1.4,1.2,71,68
597,西東京市西原町4-1,35.735031,139.527542,JGD2011,都道新宿青梅線,B,2010-10-18,2010-10-19,4,4,3,1.2,72,71
600,西多摩郡奥多摩町海沢,35.787006,139.124954,JGD2011,都道奥多摩あきる野線,B,2010-11-04,2010-11-05,4,2,3.1,1.2,61,52
601,西多摩郡桧原村人里事貫,35.707058,139.097192,JGD2011,都道川野上川乗線,B,2010-11-04,2010-11-05,4,2,0.9,1.2,62,50
603,西多摩郡桧原村人里上川乗,35.703567,139.112871,JGD2011,都道上野原あきる野線,B,2010-10-26,2010-10-27,4,2,2.6,1.2,57,50
