一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準累計,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(dB),夜間等価騒音レベル(dB)
283,板橋区板橋2-67-7,35.751736,139.709290,JGD2011,国道１７号(中山道),c,2010-07-13,2010-07-13,3,7,4,1.2,68,66
284,板橋区高島平1-9-1,35.781695,139.667824,JGD2011,都道４４６号線(都道補助２０１号),b,2010-10-04,2010-10-07,4,6,2,1.2,71,67
285,板橋区双葉町42-1,35.759457,139.700028,JGD2011,都道３１８号線(環状七号線),c,2010-02-01,2010-02-04,4,4,4,1.2,69,66
286,板橋区蓮根3-6-3,35.785884,139.675917,JGD2011,都道４４６号線(高島通り),b,2010-10-18,2010-10-21,4,4,4,1.2,68,65
287,板橋区南常盤台2-8-3,35.757086,139.686762,JGD2011,国道２５４号(川越街道),c,2010-11-08,2010-11-11,3,4,4,1.2,69,68
288,板橋区熊野町25-2,35.744221,139.707901,JGD2011,都道３１７号線(山手通り),c,2010-07-01,2010-07-02,4,6,4,1.2,74,73
289,板橋区大山町13-1,35.747094,139.700047,JGD2011,国道２５４号(川越街道),c,2010-09-01,2010-09-02,3,4,4,1.2,71,68
290,板橋区本町41-3,35.757792,139.707237,JGD2011,国道１７号(中山道),c,2010-09-02,2010-09-03,3,6,4,1.2,76,74
291,板橋区小茂根4-9-2,35.746487,139.675751,JGD2011,都道３１８号線(環状七号線),c,2010-10-14,2010-10-15,4,4,4,1.2,75,73
292,板橋区大原町6-5,35.770150,139.700783,JGD2011,国道１７号(中山道),c,2010-07-08,2010-07-09,3,4,4,1.2,72,70
293,板橋区東坂下2-20-9,35.787846,139.685287,JGD2011,国道１７号(中山道),c,2010-09-21,2010-09-22,3,4,4,1.2,71,71
294,板橋区小豆沢4-29-1,35.781399,139.696838,JGD2011,都道３１１号線(環状八号線),c,2010-09-13,2010-09-14,4,4,4,1.2,73,70
295,板橋区稲荷台222-4,35.762279,139.710310,JGD2011,都道３１８号線(環状七号線),c,2011-01-12,2011-01-12,4,4,3,1.2,73,71
296,板橋区熊野町11-2,35.741886,139.706751,JGD2011,都道３１７号線(山手通り),c,2010-07-12,2010-07-13,4,9,4,1.2,70,68
297,板橋区高島平6-1-1,35.792306,139.646469,JGD2011,国道１７号(新大宮バイパス),c,2010-10-07,2010-10-08,3,9,4,1.2,72,69
298,板橋区赤塚7-25,35.779480,139.649689,JGD2011,国道１７号(新大宮バイパス),a,2010-09-28,2010-09-29,3,2,4,1.2,69,66
299,板橋区赤塚新町3-3-9,35.770729,139.641541,JGD2011,国道２５４号(川越街道),c,2010-09-29,2010-09-30,3,4,4,1.2,73,71
300,板橋区高島平5丁目13,35.789223,139.643814,JGD2011,国道１７号,B,2010-11-09,2010-11-10,3,4,2.2,1.2,64,61
301,板橋区前野町4丁目30,35.772438,139.689911,JGD2011,高速５号池袋線,B,2010-11-09,2010-11-10,2,4,2.6,1.2,67,62
302,板橋区大谷口上町4,35.750233,139.694702,JGD2011,国道２５４号,C,2010-11-09,2010-11-10,3,4,4.7,1.2,70,68
303,板橋区東新町1丁目38,35.757610,139.682831,JGD2011,国道２５４号,C,2010-11-09,2010-11-10,3,4,5.2,1.2,72,70
304,板橋区赤塚新町3丁目14,35.771984,139.636765,JGD2011,国道２５４号,C,2010-11-09,2010-11-10,3,4,4.8,1.2,72,71
