"年度[西暦]","新規相談受理数[件]","親子ふれあい広場利用者数[人]"
"2018","1277","20603"
"2019","1440","16557"
"2020","1663","4035"
"2021","2048","12655"
"2022","1791","17276"

"令和5年度港区行政資料集　施設利用状況一覧 子ども家庭支援センター","Ver202303",
