"年度","生活相談[件]","生活保護申請[件]"
"2014","1064","397"
"2015","1197","401"
"2016","1066","345"
"2017","1037","243"
"2018","960","240"

"令和元年度港区行政資料集　生活相談状況","Ver201903",
