国籍区分,地域階層,地域コード,地域,1月中／増減,2月中／増減,3月中／増減,4月中／増減,5月中／増減,6月中／増減,7月中／増減,8月中／増減,9月中／増減,10月中／増減,11月中／増減,12月中／増減,令和3年中の増減
総数,0,13000,総数,-1896,-1381,-26,1976,-1584,715,-436,1070,-502,-1122,547,986,-1653
総数,1,13100,区部,-2116,-2170,-839,42,-2315,-418,-1325,-261,-1131,-1646,-313,20,-12472
総数,1,13200,市部,223,731,1208,1565,710,1130,843,1286,617,453,771,898,10435
総数,2,13300,郡部,-7,52,-14,25,16,15,34,54,17,61,82,80,415
総数,2,13350,島部,4,6,-381,344,5,-12,12,-9,-5,10,7,-12,-31
総数,1,13100,区部,-2116,-2170,-839,42,-2315,-418,-1325,-261,-1131,-1646,-313,20,-12472
総数,4,13101,千代田区,-88,-12,-98,-97,-76,-20,-80,-29,-12,-17,-41,-67,-637
総数,4,13102,中央区,-75,-35,25,205,-50,-17,132,-17,23,-28,-52,22,133
総数,4,13103,港区,-152,-234,-258,-287,-146,48,-86,72,-46,-83,-125,97,-1200
総数,4,13104,新宿区,-277,-351,-666,-436,-325,-252,-484,-237,-280,-225,-89,-338,-3960
総数,4,13105,文京区,-102,-226,24,-29,-178,-4,102,97,9,-86,-191,-43,-627
総数,4,13106,台東区,20,71,149,0,-10,33,48,90,118,8,139,36,702
総数,4,13107,墨田区,-43,-34,-16,-56,38,26,22,-31,-2,27,131,-101,-39
総数,4,13108,江東区,-39,4,122,39,105,52,56,104,61,-96,143,217,768
総数,4,13109,品川区,-262,-215,-313,-168,-148,-121,-123,69,-141,-240,-25,-51,-1738
総数,4,13110,目黒区,-101,-235,-67,-86,-128,-98,-210,-207,-149,-226,-182,-168,-1857
総数,4,13111,大田区,-116,50,49,171,-659,-20,-8,30,-69,-3,-33,41,-567
総数,4,13112,世田谷区,-80,-325,324,-15,-229,-237,-225,-79,-57,-22,-165,37,-1073
総数,4,13113,渋谷区,-10,-101,-221,156,-42,-173,-150,-15,-214,-183,-78,-57,-1088
総数,4,13114,中野区,-182,-172,-50,-154,-249,-104,-183,-51,-177,-354,-269,-52,-1997
総数,4,13115,杉並区,-382,-351,-192,-69,-447,-264,-360,-318,-318,-297,-186,-243,-3427
総数,4,13116,豊島区,-116,-128,-347,-72,-128,-172,-127,-213,-244,-322,-157,-195,-2221
総数,4,13117,北区,-5,33,17,140,-22,127,28,104,9,101,86,368,986
総数,4,13118,荒川区,-72,41,39,63,27,-3,121,40,-27,-19,-95,23,138
