国籍区分,地域階層,地域コード,地域,1月中／増減,2月中／増減,3月中／増減,4月中／増減,5月中／増減,6月中／増減,7月中／増減,8月中／増減,9月中／増減,10月中／増減,11月中／増減,12月中／増減,令和3年中の増減
総数,0,13000,総数,-7321,-10891,15155,5877,-5079,-2418,-5907,-5367,-9283,-8924,-4562,-9872,-48592
総数,1,13100,区部,-5019,-9505,11175,896,-4587,-2945,-5788,-5456,-8114,-7918,-4122,-8508,-49891
総数,1,13200,市部,-2155,-1396,4610,4624,-433,598,-91,119,-1076,-989,-429,-1293,2089
総数,2,13300,郡部,-104,18,-102,-63,-20,-36,-26,-21,-40,-6,1,-17,-416
総数,2,13350,島部,-43,-8,-528,420,-39,-35,-2,-9,-53,-11,-12,-54,-374
総数,1,13100,区部,-5019,-9505,11175,896,-4587,-2945,-5788,-5456,-8114,-7918,-4122,-8508,-49891
総数,4,13101,千代田区,-61,-68,53,52,-33,51,-35,-30,-64,19,48,-99,-167
総数,4,13102,中央区,60,-81,384,402,45,35,64,41,-132,15,32,-29,836
総数,4,13103,港区,30,-340,95,-185,-153,-40,-322,-56,-260,-163,-136,-323,-1853
総数,4,13104,新宿区,268,-620,-302,-437,-459,-16,-586,-387,-464,-334,5,-677,-4009
総数,4,13105,文京区,4,-319,394,71,-207,82,101,101,0,-131,-212,-126,-242
総数,4,13106,台東区,108,-40,273,10,-98,-57,-16,67,72,-118,23,-162,62
総数,4,13107,墨田区,-123,-32,483,-12,103,20,128,7,-122,-137,110,-348,77
総数,4,13108,江東区,-322,-239,881,303,43,108,-64,-303,-385,-453,92,-10,-349
総数,4,13109,品川区,-394,-369,442,-291,-253,-213,-299,82,-311,-482,-246,-371,-2705
総数,4,13110,目黒区,-210,-423,409,-116,-198,-193,-390,-368,-339,-544,-291,-378,-3041
総数,4,13111,大田区,-926,-641,1688,-64,-470,-533,-683,-582,-658,-586,-470,-1044,-4969
総数,4,13112,世田谷区,-528,-948,1575,161,-342,-533,-715,-538,-572,-635,-277,-812,-4164
総数,4,13113,渋谷区,-68,-235,88,281,-56,-285,-181,-122,-303,-378,-8,-226,-1493
総数,4,13114,中野区,-128,-552,629,50,-405,80,-330,-196,-416,-548,-370,-429,-2615
総数,4,13115,杉並区,-543,-704,1118,356,-514,-197,-360,-741,-763,-510,-327,-616,-3801
総数,4,13116,豊島区,81,-366,-419,-112,-263,-356,-74,-476,-616,-565,-336,-456,-3958
総数,4,13117,北区,-244,-373,97,-68,-242,-14,-224,-137,-409,-263,-134,131,-1880
総数,4,13118,荒川区,-163,-110,73,14,-10,-32,104,-99,-259,-121,-193,-196,-992
総数,4,13119,板橋区,-416,-805,1032,41,-412,-172,-352,-272,-400,-467,-276,-500,-2999
総数,4,13120,練馬区,-303,-550,1171,392,-37,28,-365,-440,-316,-564,-298,-459,-1741
総数,4,13121,足立区,-392,-351,931,187,-109,-109,-330,-185,-458,-325,-329,-426,-1896
総数,4,13122,葛飾区,-316,-388,189,-24,-106,-81,-260,-327,-208,22,30,-139,-1608
