国籍区分,地域階層,地域コード,地域,1月中／転入者数,2月中／転入者数,3月中／転入者数,4月中／転入者数,5月中／転入者数,6月中／転入者数,7月中／転入者数,8月中／転入者数,9月中／転入者数,10月中／転入者数,11月中／転入者数,12月中／転入者数,令和3年中の転入者数
総数,0,13000,総数,23928,28042,97222,57600,28412,29088,26822,26642,25047,26128,25327,24699,418957
総数,1,13100,区部,18714,21536,73882,42678,22232,22648,20585,20491,19451,20251,19704,19250,321422
総数,1,13200,市部,5154,6395,23102,14667,6095,6355,6136,6031,5509,5802,5551,5381,96178
総数,2,13300,郡部,36,66,109,88,54,50,59,51,54,43,47,45,702
総数,2,13350,島部,24,45,129,167,31,35,42,69,33,32,25,23,655
総数,1,13100,区部,18714,21536,73882,42678,22232,22648,20585,20491,19451,20251,19704,19250,321422
総数,4,13101,千代田区,160,151,645,539,181,193,165,170,162,209,184,163,2922
総数,4,13102,中央区,450,432,1439,892,435,489,427,394,400,442,430,445,6675
総数,4,13103,港区,652,617,1897,1063,585,633,564,598,557,578,610,544,8898
総数,4,13104,新宿区,913,1048,3539,2114,1019,1270,936,1069,1023,961,1036,937,15865
総数,4,13105,文京区,418,525,2207,1197,497,574,505,557,488,451,450,444,8313
総数,4,13106,台東区,535,574,1634,1006,571,629,564,588,585,596,562,562,8406
総数,4,13107,墨田区,619,814,2183,1271,793,878,749,697,713,695,674,658,10744
総数,4,13108,江東区,878,1049,3968,2357,1177,1142,1050,953,1013,1031,995,1034,16647
総数,4,13109,品川区,916,1005,3298,1690,1011,1028,916,1044,919,940,876,876,14519
総数,4,13110,目黒区,558,649,2138,1212,635,603,596,676,570,510,573,628,9348
総数,4,13111,大田区,1437,1843,6482,3245,1841,1759,1653,1653,1636,1679,1639,1524,26391
総数,4,13112,世田谷区,1654,1861,6606,3838,1953,1973,1818,1752,1662,1770,1716,1578,28181
総数,4,13113,渋谷区,518,540,1541,1015,525,578,580,510,514,479,569,476,7845
総数,4,13114,中野区,784,827,3158,1802,877,1008,794,802,794,803,808,726,13183
総数,4,13115,杉並区,1025,1150,4671,2726,1246,1242,1195,1034,996,1093,1044,1004,18426
総数,4,13116,豊島区,742,848,2471,1585,854,861,793,707,701,783,701,700,11746
総数,4,13117,北区,763,854,2795,1737,938,992,849,850,790,842,888,926,13224
総数,4,13118,荒川区,346,491,1398,827,532,532,469,463,442,467,467,429,6863
総数,4,13119,板橋区,1109,1268,4997,2497,1307,1344,1242,1206,1133,1173,1119,1081,19476
総数,4,13120,練馬区,1240,1411,5073,2916,1428,1354,1370,1372,1239,1287,1166,1238,21094
総数,4,13121,足立区,1136,1419,4318,2489,1503,1397,1291,1296,1179,1327,1311,1274,19940
総数,4,13122,葛飾区,671,816,2827,1751,973,919,811,796,777,912,763,826,12842
総数,4,13123,江戸川区,1190,1344,4597,2909,1351,1250,1248,1304,1158,1223,1123,1177,19874
総数,1,13200,市部,5154,6395,23102,14667,6095,6355,6136,6031,5509,5802,5551,5381,96178
総数,4,13201,八王子市,674,876,3361,2492,791,852,668,795,736,679,751,663,13338
総数,4,13202,立川市,233,254,1123,631,263,297,303,262,280,247,248,216,4357
総数,4,13203,武蔵野市,200,297,1179,628,260,300,219,231,241,250,178,208,4191
