国籍区分,地域階層,地域コード,地域,1月中／出生数,2月中／出生数,3月中／出生数,4月中／出生数,5月中／出生数,6月中／出生数,7月中／出生数,8月中／出生数,9月中／出生数,10月中／出生数,11月中／出生数,12月中／出生数,令和3年中の出生数
総数,0,13000,総数,6952,6661,8253,8214,8197,8538,8545,9226,8959,8569,8641,7901,98656
総数,1,13100,区部,5102,4902,5955,6039,5981,6214,6163,6749,6617,6323,6317,5814,72176
総数,1,13200,市部,1828,1727,2258,2143,2187,2288,2355,2434,2311,2211,2290,2063,26095
総数,2,13300,郡部,13,24,25,19,24,25,17,24,17,22,23,19,252
総数,2,13350,島部,9,8,15,13,5,11,10,19,14,13,11,5,133
総数,1,13100,区部,5102,4902,5955,6039,5981,6214,6163,6749,6617,6323,6317,5814,72176
総数,4,13101,千代田区,40,40,51,48,56,60,46,61,44,48,70,52,616
総数,4,13102,中央区,142,136,160,146,164,173,169,212,182,204,157,165,2010
総数,4,13103,港区,186,161,214,231,202,220,225,251,245,218,245,197,2595
総数,4,13104,新宿区,186,181,199,196,206,218,196,246,212,219,231,175,2465
総数,4,13105,文京区,123,130,157,155,149,156,151,187,187,168,155,166,1884
総数,4,13106,台東区,125,90,126,149,150,130,131,134,158,144,117,116,1570
総数,4,13107,墨田区,160,179,191,193,198,172,226,238,187,202,200,149,2295
総数,4,13108,江東区,300,309,350,346,369,366,317,367,387,348,398,349,4206
総数,4,13109,品川区,302,243,306,286,294,328,327,334,331,322,278,281,3632
総数,4,13110,目黒区,155,161,187,202,186,182,195,184,202,176,176,153,2159
総数,4,13111,大田区,372,381,465,434,431,466,451,500,480,480,474,410,5344
総数,4,13112,世田谷区,467,475,543,600,601,584,601,636,584,580,591,556,6818
総数,4,13113,渋谷区,109,146,157,179,162,151,162,190,186,186,154,174,1956
総数,4,13114,中野区,168,158,200,208,190,220,210,242,239,220,228,198,2481
総数,4,13115,杉並区,292,280,339,337,353,377,397,366,404,345,338,358,4186
総数,4,13116,豊島区,141,150,147,182,162,151,164,180,173,205,202,156,2013
総数,4,13117,北区,201,168,253,229,208,221,230,249,228,234,252,217,2690
総数,4,13118,荒川区,129,104,144,143,141,146,137,133,177,152,136,150,1692
総数,4,13119,板橋区,261,278,308,307,295,349,306,375,374,338,331,314,3836
総数,4,13120,練馬区,390,317,419,445,441,507,472,516,489,464,472,409,5341
総数,4,13121,足立区,278,281,377,350,368,363,370,409,400,377,383,367,4323
総数,4,13122,葛飾区,209,221,249,252,259,272,258,293,291,261,253,261,3079
総数,4,13123,江戸川区,366,313,413,421,396,402,422,446,457,432,476,441,4985
総数,1,13200,市部,1828,1727,2258,2143,2187,2288,2355,2434,2311,2211,2290,2063,26095
総数,4,13201,八王子市,177,197,272,227,262,247,261,257,262,266,259,237,2924
総数,4,13202,立川市,77,66,111,101,112,118,115,109,105,99,91,95,1199
総数,4,13203,武蔵野市,87,73,73,95,105,91,98,112,107,97,117,84,1139
総数,4,13204,三鷹市,96,88,109,119,119,124,116,144,131,107,123,101,1377
総数,4,13205,青梅市,43,33,66,60,54,47,58,48,53,43,62,39,606
総数,4,13206,府中市,130,109,152,132,160,152,164,177,138,133,165,134,1746
総数,4,13207,昭島市,56,61,61,63,67,60,52,71,69,68,62,74,764
総数,4,13208,調布市,113,120,160,129,146,163,160,154,163,164,133,156,1761
総数,4,13209,町田市,161,166,209,220,164,204,202,211,215,190,193,175,2310
総数,4,13210,小金井市,50,62,87,72,82,85,101,108,86,77,65,73,948
総数,4,13211,小平市,83,81,98,104,121,122,130,116,118,118,108,94,1293
総数,4,13212,日野市,84,73,114,104,92,106,104,123,117,122,119,106,1264
総数,4,13213,東村山市,63,59,62,66,85,69,81,95,78,74,84,71,887
総数,4,13214,国分寺市,68,61,82,76,72,90,101,83,83,86,105,81,988
総数,4,13215,国立市,18,25,36,38,37,40,40,53,30,37,36,37,427
総数,4,13218,福生市,31,21,27,27,29,26,28,42,27,22,34,20,334
総数,4,13219,狛江市,36,48,52,56,44,59,49,50,45,57,62,43,601
総数,4,13220,東大和市,48,44,49,51,44,44,42,40,40,38,45,26,511
総数,4,13221,清瀬市,41,24,40,38,46,32,43,41,41,43,43,23,455
総数,4,13222,東久留米市,46,47,70,68,61,62,62,51,69,51,59,58,704
総数,4,13223,武蔵村山市,36,26,40,29,27,35,39,38,37,45,29,37,418
総数,4,13224,多摩市,68,61,55,62,46,77,75,64,60,51,54,60,733
総数,4,13225,稲城市,44,35,65,48,60,51,62,61,57,59,59,55,656
総数,4,13227,羽村市,33,23,23,24,21,28,28,30,25,17,27,31,310
総数,4,13228,あきる野市,34,27,41,26,30,42,27,44,46,41,36,30,424
総数,4,13229,西東京市,105,97,104,108,101,114,117,112,109,106,120,123,1316
