国籍区分,地域階層,地域コード,地域,1月中／増減,2月中／増減,3月中／増減,4月中／増減,5月中／増減,6月中／増減,7月中／増減,8月中／増減,9月中／増減,10月中／増減,11月中／増減,12月中／増減,令和3年中の増減
総数,0,13000,総数,-6189,-4451,-3540,-2295,-1851,-1197,-998,-1506,-1787,-1735,-2354,-2779,-30682
総数,1,13100,区部,-3761,-2535,-1991,-1088,-801,-251,-274,-480,-644,-619,-994,-1279,-14717
総数,1,13200,市部,-2315,-1825,-1456,-1137,-965,-859,-650,-939,-1056,-1038,-1258,-1398,-14896
総数,2,13300,郡部,-84,-68,-64,-67,-55,-66,-50,-73,-60,-62,-84,-77,-810
総数,2,13350,島部,-29,-23,-29,-3,-30,-21,-24,-14,-27,-16,-18,-25,-259
総数,1,13100,区部,-3761,-2535,-1991,-1088,-801,-251,-274,-480,-644,-619,-994,-1279,-14717
総数,4,13101,千代田区,-13,1,16,5,21,37,8,21,11,-1,34,26,166
総数,4,13102,中央区,45,37,73,79,95,97,72,127,93,129,78,92,1017
総数,4,13103,港区,9,28,53,76,51,102,105,98,96,91,117,37,863
総数,4,13104,新宿区,-107,-48,-54,-33,-13,18,-7,4,-48,-17,25,-53,-333
総数,4,13105,文京区,-34,-24,-12,25,-8,29,11,52,56,22,-15,56,158
総数,4,13106,台東区,-92,-104,-56,-39,5,-30,-26,-22,-14,-33,-69,-47,-527
総数,4,13107,墨田区,-83,-44,-65,-25,-6,-80,27,39,-52,25,-9,-74,-347
総数,4,13108,江東区,-164,-47,-34,-5,21,73,-2,-21,6,6,0,-5,-172
総数,4,13109,品川区,-61,-26,30,18,19,74,81,73,33,33,-19,-7,248
総数,4,13110,目黒区,-84,-11,-16,15,-6,9,21,5,35,-24,3,-14,-67
総数,4,13111,大田区,-393,-215,-172,-167,-86,-83,-109,-119,-106,-33,-123,-187,-1793
総数,4,13112,世田谷区,-283,-133,-132,-35,65,-9,75,36,-23,-62,77,-96,-520
総数,4,13113,渋谷区,-84,20,3,46,32,26,5,57,66,36,1,23,231
総数,4,13114,中野区,-115,-103,-85,-41,-45,12,28,-9,3,-38,-32,-57,-482
総数,4,13115,杉並区,-225,-138,-75,-54,-25,-1,33,-58,-21,-20,-52,-38,-674
総数,4,13116,豊島区,-104,-57,-91,-17,-64,-27,-17,-24,-38,-1,-16,-37,-493
