国籍区分,地域階層,地域コード,地域,1月中／死亡数,2月中／死亡数,3月中／死亡数,4月中／死亡数,5月中／死亡数,6月中／死亡数,7月中／死亡数,8月中／死亡数,9月中／死亡数,10月中／死亡数,11月中／死亡数,12月中／死亡数,令和3年中の死亡数
総数,0,13000,総数,13141,11112,11793,10509,10048,9735,9543,10732,10746,10304,10995,10680,129338
総数,1,13100,区部,8863,7437,7946,7127,6782,6465,6437,7229,7261,6942,7311,7093,86893
総数,1,13200,市部,4143,3552,3714,3280,3152,3147,3005,3373,3367,3249,3548,3461,40991
総数,2,13300,郡部,97,92,89,86,79,91,67,97,77,84,107,96,1062
総数,2,13350,島部,38,31,44,16,35,32,34,33,41,29,29,30,392
総数,1,13100,区部,8863,7437,7946,7127,6782,6465,6437,7229,7261,6942,7311,7093,86893
総数,4,13101,千代田区,53,39,35,43,35,23,38,40,33,49,36,26,450
総数,4,13102,中央区,97,99,87,67,69,76,97,85,89,75,79,73,993
総数,4,13103,港区,177,133,161,155,151,118,120,153,149,127,128,160,1732
総数,4,13104,新宿区,293,229,253,229,219,200,203,242,260,236,206,228,2798
総数,4,13105,文京区,157,154,169,130,157,127,140,135,131,146,170,110,1726
総数,4,13106,台東区,217,194,182,188,145,160,157,156,172,177,186,163,2097
総数,4,13107,墨田区,243,223,256,218,204,252,199,199,239,177,209,223,2642
総数,4,13108,江東区,464,356,384,351,348,293,319,388,381,342,398,354,4378
総数,4,13109,品川区,363,269,276,268,275,254,246,261,298,289,297,288,3384
総数,4,13110,目黒区,239,172,203,187,192,173,174,179,167,200,173,167,2226
総数,4,13111,大田区,765,596,637,601,517,549,560,619,586,513,597,597,7137
総数,4,13112,世田谷区,750,608,675,635,536,593,526,600,607,642,514,652,7338
総数,4,13113,渋谷区,193,126,154,133,130,125,157,133,120,150,153,151,1725
総数,4,13114,中野区,283,261,285,249,235,208,182,251,236,258,260,255,2963
総数,4,13115,杉並区,517,418,414,391,378,378,364,424,425,365,390,396,4860
総数,4,13116,豊島区,245,207,238,199,226,178,181,204,211,206,218,193,2506
総数,4,13117,北区,398,315,350,270,308,251,273,297,317,314,354,316,3763
総数,4,13118,荒川区,245,168,228,196,188,190,166,185,199,160,182,151,2258
総数,4,13119,板橋区,516,529,533,510,453,430,460,453,465,478,482,479,5788
総数,4,13120,練馬区,663,623,606,508,483,518,471,578,532,519,590,552,6643
総数,4,13121,足立区,820,712,703,665,655,547,586,659,687,588,699,636,7957
総数,4,13122,葛飾区,511,455,500,432,395,367,348,442,411,404,460,413,5138
総数,4,13123,江戸川区,654,551,617,502,483,455,470,546,546,527,530,510,6391
総数,1,13200,市部,4143,3552,3714,3280,3152,3147,3005,3373,3367,3249,3548,3461,40991
総数,4,13201,八王子市,592,495,561,486,444,450,397,462,503,442,468,504,5804
総数,4,13202,立川市,202,148,133,117,149,137,147,144,136,146,183,159,1801
総数,4,13203,武蔵野市,172,93,125,89,89,103,92,92,112,82,115,80,1244
総数,4,13204,三鷹市,167,142,135,129,116,121,128,142,114,138,132,149,1613
総数,4,13205,青梅市,186,158,175,151,151,137,138,143,162,173,176,136,1886
総数,4,13206,府中市,236,198,209,192,172,187,161,175,208,176,212,207,2333
総数,4,13207,昭島市,123,117,126,102,106,89,116,102,93,110,112,95,1291
総数,4,13208,調布市,203,176,178,149,148,156,168,147,163,147,197,160,1992
総数,4,13209,町田市,450,375,407,358,332,335,273,361,364,343,375,378,4351
総数,4,13210,小金井市,110,78,86,83,93,66,72,83,82,78,68,68,967
総数,4,13211,小平市,180,139,146,166,128,136,149,137,139,142,187,142,1791
総数,4,13212,日野市,171,156,137,120,130,143,123,159,127,119,150,162,1697
総数,4,13213,東村山市,142,118,157,133,135,117,105,133,140,141,123,150,1594
総数,4,13214,国分寺市,123,87,91,88,82,93,87,89,85,91,93,93,1102
総数,4,13215,国立市,72,66,57,61,58,54,55,63,55,50,59,66,716
総数,4,13218,福生市,62,66,65,60,34,38,57,60,52,56,50,48,648
総数,4,13219,狛江市,78,83,75,58,56,60,62,77,70,43,59,68,789
総数,4,13220,東大和市,75,91,79,72,69,74,65,75,71,67,66,72,876
総数,4,13221,清瀬市,80,88,76,70,75,71,56,64,69,64,91,78,882
総数,4,13222,東久留米市,114,111,121,110,104,89,91,123,94,88,109,109,1263
総数,4,13223,武蔵村山市,69,62,69,54,49,53,47,71,63,60,57,77,731
総数,4,13224,多摩市,138,120,126,112,120,127,114,116,110,150,119,128,1480
総数,4,13225,稲城市,55,60,52,57,65,52,44,60,57,64,60,55,681
総数,4,13227,羽村市,54,56,66,43,41,36,49,51,51,40,48,51,586
総数,4,13228,あきる野市,81,99,91,65,83,91,66,78,76,80,79,85,974
