国籍区分,地域階層,地域コード,地域,1月中／転出者数,2月中／転出者数,3月中／転出者数,4月中／転出者数,5月中／転出者数,6月中／転出者数,7月中／転出者数,8月中／転出者数,9月中／転出者数,10月中／転出者数,11月中／転出者数,12月中／転出者数,令和3年中の転出者数
総数,0,13000,総数,26740,31258,74739,48566,28676,29971,30348,28822,29550,30299,27327,28764,415060
総数,1,13100,区部,21171,24665,56544,38096,22496,23911,23955,22881,23578,24169,21741,22909,326116
総数,1,13200,市部,5471,6522,17824,10285,6087,5992,6292,5829,5867,6048,5517,5760,87494
総数,2,13300,郡部,54,34,126,95,46,30,68,57,52,44,43,58,707
総数,2,13350,島部,44,37,245,90,47,38,33,55,53,38,26,37,743
総数,1,13100,区部,21171,24665,56544,38096,22496,23911,23955,22881,23578,24169,21741,22909,326116
総数,4,13101,千代田区,153,182,495,377,178,168,154,173,193,162,143,157,2535
総数,4,13102,中央区,416,447,1124,786,412,495,507,387,485,472,395,448,6374
総数,4,13103,港区,588,626,1438,934,613,630,634,624,646,637,648,598,8616
総数,4,13104,新宿区,924,1051,2592,1804,1010,1003,1056,1023,990,987,962,905,14307
総数,4,13105,文京区,421,532,1705,1053,501,525,481,504,497,460,443,480,7602
総数,4,13106,台東区,495,580,1320,899,612,623,564,524,573,637,559,593,7979
総数,4,13107,墨田区,680,735,1538,1140,710,801,673,656,720,846,661,750,9910
総数,4,13108,江東区,1025,1068,2927,1932,1175,1088,1087,1127,1234,1235,1060,1105,16063
総数,4,13109,品川区,1020,1091,2522,1809,1130,1132,1106,1032,1065,1199,1052,1039,15197
総数,4,13110,目黒区,621,788,1625,1236,706,703,817,748,727,775,669,768,10183
総数,4,13111,大田区,1877,2273,4471,3249,1517,2123,2154,2034,1980,2165,1877,2245,27965
総数,4,13112,世田谷区,1929,2316,5262,3647,2083,2242,2343,2167,2007,2255,1924,2112,30287
総数,4,13113,渋谷区,524,620,1091,853,541,584,538,549,573,657,536,519,7585
総数,4,13114,中野区,834,946,2101,1370,906,799,931,817,900,853,817,910,12184
総数,4,13115,杉並区,1088,1329,3100,2213,1253,1221,1192,1245,1309,1208,1088,1232,17478
総数,4,13116,豊島区,731,920,2062,1436,854,945,918,871,941,897,801,766,12142
総数,4,13117,北区,957,1057,2423,1754,990,1033,1045,963,1028,1064,950,947,14211
総数,4,13118,荒川区,467,554,1148,753,505,489,509,514,589,505,499,515,7047
総数,4,13119,板橋区,1282,1537,3416,2258,1475,1555,1436,1401,1411,1534,1366,1419,20090
総数,4,13120,練馬区,1392,1648,3954,2548,1555,1540,1774,1584,1553,1721,1430,1554,22253
総数,4,13121,足立区,1374,1562,3256,2119,1425,1521,1492,1389,1551,1498,1538,1420,20145
総数,4,13122,葛飾区,855,949,2337,1696,940,980,934,965,931,952,863,858,13260
総数,4,13123,江戸川区,1518,1854,4637,2230,1405,1711,1610,1584,1675,1450,1460,1569,22703
総数,1,13200,市部,5471,6522,17824,10285,6087,5992,6292,5829,5867,6048,5517,5760,87494
総数,4,13201,八王子市,729,944,2610,1219,783,721,724,683,758,748,691,730,11340
総数,4,13202,立川市,208,260,808,480,253,222,287,269,284,263,242,250,3826
総数,4,13203,武蔵野市,253,226,706,413,253,250,253,273,253,248,233,262,3623
総数,4,13204,三鷹市,262,297,967,516,313,316,284,254,264,303,264,290,4330
総数,4,13205,青梅市,97,106,328,168,101,127,139,111,79,108,98,100,1562
総数,4,13206,府中市,310,403,1022,685,352,409,377,399,389,397,284,327,5354
総数,4,13207,昭島市,106,120,404,293,115,138,145,169,138,147,116,121,2012
総数,4,13208,調布市,343,433,1105,693,420,400,400,356,392,423,352,407,5724
総数,4,13209,町田市,705,844,1780,1258,845,726,830,778,777,783,778,799,10903
総数,4,13210,小金井市,223,234,686,420,195,219,225,202,210,200,158,203,3175
総数,4,13211,小平市,226,284,1129,473,299,248,310,235,222,228,216,231,4101
総数,4,13212,日野市,226,274,766,456,221,221,282,240,224,228,230,226,3594
総数,4,13213,東村山市,225,275,658,256,199,216,213,187,183,195,179,194,2980
総数,4,13214,国分寺市,179,217,673,331,238,220,214,175,182,178,180,162,2949
総数,4,13215,国立市,120,117,382,211,114,111,121,112,138,121,108,127,1782
総数,4,13218,福生市,71,94,251,171,91,103,81,75,79,85,86,80,1267
総数,4,13219,狛江市,152,170,381,249,146,184,165,149,150,175,163,151,2235
総数,4,13220,東大和市,65,74,202,139,57,72,86,78,67,91,68,89,1088
総数,4,13221,清瀬市,112,125,306,189,123,102,134,108,103,133,116,97,1648
総数,4,13222,東久留米市,138,140,362,318,172,158,165,153,128,126,161,140,2161
総数,4,13223,武蔵村山市,53,73,229,90,63,48,81,49,69,58,69,46,928
総数,4,13224,多摩市,131,225,491,318,176,199,196,196,203,207,188,188,2718
総数,4,13225,稲城市,140,177,354,225,112,147,148,130,147,175,132,134,2021
総数,4,13227,羽村市,59,43,150,96,70,54,68,66,57,75,63,67,868
総数,4,13228,あきる野市,43,47,192,98,77,65,65,68,57,63,43,67,885
総数,4,13229,西東京市,295,320,882,520,299,316,299,314,314,290,299,272,4420
総数,1,13550,町村部,98,71,371,185,93,68,101,112,105,82,69,95,1450
総数,2,13300,郡部,54,34,126,95,46,30,68,57,52,44,43,58,707
総数,4,13303,瑞穂町,30,23,82,59,34,21,50,43,37,36,30,30,475
総数,4,13305,日の出町,21,11,34,28,11,7,13,12,10,5,11,28,191
総数,4,13307,檜原村,1,0,5,2,0,1,2,1,1,1,1,0,15
総数,4,13308,奥多摩町,2,0,5,6,1,1,3,1,4,2,1,0,26
総数,2,13350,島部,44,37,245,90,47,38,33,55,53,38,26,37,743
総数,3,13360,大島支庁,20,12,109,42,16,14,14,14,15,21,6,10,293
総数,4,13361,大島町,14,9,68,28,13,8,8,10,9,10,3,9,189
総数,4,13362,利島村,1,0,4,1,2,1,0,1,0,1,1,0,12
総数,4,13363,新島村,3,1,24,7,1,5,0,3,2,6,1,0,53
総数,4,13364,神津島村,2,2,13,6,0,0,6,0,4,4,1,1,39
総数,3,13380,三宅支庁,7,4,31,6,12,1,4,12,5,0,6,7,95
総数,4,13381,三宅村,6,4,29,3,8,1,3,10,5,0,2,4,75
総数,4,13382,御蔵島村,1,0,2,3,4,0,1,2,0,0,4,3,20
総数,3,13400,八丈支庁,6,7,61,14,7,11,8,16,16,7,2,11,166
総数,4,13401,八丈町,6,7,58,13,7,11,8,16,15,6,2,11,160
総数,4,13402,青ヶ島村,0,0,3,1,0,0,0,0,1,1,0,0,6
総数,3,13420,小笠原支庁,11,14,44,28,12,12,7,13,17,10,12,9,189
総数,4,13421,小笠原村,11,14,44,28,12,12,7,13,17,10,12,9,189
日本人,0,13000,総数,24201,28393,67007,43894,26006,27226,27858,26426,26963,27852,25082,26566,377474
日本人,1,13100,区部,18992,22177,50057,34131,20252,21548,21899,20831,21328,22083,19805,21059,294162
日本人,2,13200,市部,5121,6153,16590,9579,5664,5613,5870,5494,5537,5696,5213,5422,81952
日本人,3,13300,郡部,44,26,120,94,44,27,59,48,45,38,40,48,633
日本人,3,13350,島部,44,37,240,90,46,38,30,53,53,35,24,37,727
日本人,1,13100,区部,18992,22177,50057,34131,20252,21548,21899,20831,21328,22083,19805,21059,294162
日本人,5,13101,千代田区,138,171,459,364,173,159,148,166,180,152,134,151,2395
日本人,5,13102,中央区,391,425,1060,753,394,466,490,362,459,455,377,421,6053
日本人,5,13103,港区,524,549,1349,884,549,585,585,555,606,595,584,546,7911
日本人,5,13104,新宿区,739,846,1893,1410,804,811,875,872,801,811,780,752,11394
日本人,5,13105,文京区,394,492,1503,956,462,480,439,467,456,433,406,435,6923
日本人,5,13106,台東区,432,502,1065,730,525,539,508,468,493,553,488,537,6840
日本人,5,13107,墨田区,615,673,1407,1042,645,737,626,615,673,799,614,698,9144
日本人,5,13108,江東区,926,984,2695,1760,1084,993,1006,1014,1124,1116,958,1028,14688
日本人,5,13109,品川区,958,1022,2402,1716,1078,1068,1059,967,1002,1133,994,998,14397
日本人,5,13110,目黒区,605,756,1567,1199,684,677,797,718,688,746,637,734,9808
日本人,5,13111,大田区,1727,2118,4232,3044,1408,2018,2007,1909,1870,1996,1780,2125,26234
日本人,5,13112,世田谷区,1833,2188,5047,3484,1994,2132,2229,2065,1907,2173,1839,2038,28929
日本人,5,13113,渋谷区,495,583,1011,791,511,544,506,518,537,619,507,495,7117
日本人,5,13114,中野区,723,814,1678,1133,800,712,848,718,791,760,712,814,10503
日本人,5,13115,杉並区,1031,1251,2784,2032,1160,1160,1123,1169,1206,1146,1030,1145,16237
日本人,5,13116,豊島区,590,718,1483,1079,645,721,719,699,755,728,659,624,9420
日本人,5,13117,北区,805,878,1985,1465,822,821,909,834,854,913,802,817,11905
日本人,5,13118,荒川区,380,455,853,598,401,401,424,427,472,433,432,437,5713
日本人,5,13119,板橋区,1135,1389,2939,1955,1311,1382,1308,1281,1286,1395,1229,1298,17908
日本人,5,13120,練馬区,1331,1541,3587,2359,1437,1440,1685,1496,1482,1624,1354,1455,20791
日本人,5,13121,足立区,1154,1325,2885,1914,1278,1296,1344,1240,1358,1330,1394,1289,17807
日本人,5,13122,葛飾区,749,839,2058,1505,825,869,820,857,839,858,767,789,11775
日本人,5,13123,江戸川区,1317,1658,4115,1958,1262,1537,1444,1414,1489,1315,1328,1433,20270
日本人,2,13200,市部,5121,6153,16590,9579,5664,5613,5870,5494,5537,5696,5213,5422,81952
日本人,5,13201,八王子市,677,877,2456,1115,729,653,658,625,698,689,644,682,10503
日本人,5,13202,立川市,192,254,772,454,219,199,271,257,273,243,222,237,3593
日本人,5,13203,武蔵野市,238,220,675,395,241,244,243,263,243,236,227,251,3476
日本人,5,13204,三鷹市,254,285,933,495,304,302,269,241,248,287,249,284,4151
日本人,5,13205,青梅市,87,99,319,158,91,124,132,100,76,107,95,91,1479
日本人,5,13206,府中市,293,379,939,641,338,384,354,380,373,386,274,313,5054
日本人,5,13207,昭島市,93,107,387,250,95,114,133,155,102,122,98,100,1756
日本人,5,13208,調布市,325,418,1050,669,404,390,387,346,380,412,341,394,5516
日本人,5,13209,町田市,667,797,1660,1188,761,695,784,747,746,752,752,771,10320
日本人,5,13210,小金井市,216,217,650,404,182,206,213,192,204,194,150,192,3020
日本人,5,13211,小平市,206,272,957,439,279,230,285,221,214,214,202,223,3742
日本人,5,13212,日野市,203,260,725,434,207,213,271,221,213,219,218,205,3389
日本人,5,13213,東村山市,210,268,617,239,188,192,200,178,180,186,177,185,2820
日本人,5,13214,国分寺市,172,204,648,314,229,212,202,168,171,161,175,152,2808
日本人,5,13215,国立市,116,105,352,206,110,111,111,110,131,119,104,120,1695
日本人,5,13218,福生市,61,67,173,102,60,73,50,56,58,62,62,60,884
日本人,5,13219,狛江市,137,164,367,241,140,177,159,148,145,169,156,146,2149
日本人,5,13220,東大和市,61,73,198,132,53,69,83,76,64,90,66,86,1051
日本人,5,13221,清瀬市,96,120,296,166,115,92,126,99,100,128,105,90,1533
日本人,5,13222,東久留米市,132,134,345,298,163,157,148,138,115,118,152,127,2027
日本人,5,13223,武蔵村山市,49,70,219,81,60,42,72,46,65,52,62,40,858
日本人,5,13224,多摩市,126,216,457,303,167,188,180,184,195,200,180,174,2570
日本人,5,13225,稲城市,139,169,339,219,107,141,146,124,142,163,130,126,1945
日本人,5,13227,羽村市,52,38,125,85,66,51,59,58,55,61,53,58,761
日本人,5,13228,あきる野市,40,45,180,90,75,57,56,63,53,60,37,59,815
