罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金被害の有無
窃盗,自動販売機ねらい,中央,本町交番,131024,東京都,中央区,日本橋本町４丁目,2020-12-11,14,その他,その他,あり
窃盗,自動販売機ねらい,深川,住吉交番,131083,東京都,江東区,塩浜２丁目,2020-08-19,16,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,深川,東陽交番,131083,東京都,江東区,木場６丁目,2020-11-29,12,その他,その他,あり
窃盗,自動販売機ねらい,深川,東陽交番,131083,東京都,江東区,東陽３丁目,2020-08-04,10,道路上,その他,あり
窃盗,自動販売機ねらい,深川,千田交番,131083,東京都,江東区,海辺,2020-06-03,15,道路上,その他,あり
窃盗,自動販売機ねらい,麹町,飯田橋駅前交番,131016,東京都,千代田区,飯田橋４丁目,2020-08-27,18,その他,その他,あり
窃盗,自動販売機ねらい,丸の内,八重洲口交番,131016,東京都,千代田区,丸の内１丁目,2020-02-09,13,その他,その他,あり
窃盗,自動販売機ねらい,神田,お茶の水交番,131016,東京都,千代田区,神田錦町２丁目,2020-02-12,00,道路上,その他,あり
窃盗,自動販売機ねらい,万世橋,秋葉原交番,131016,東京都,千代田区,外神田１丁目,2020-07-04,15,その他,その他,なし
窃盗,自動販売機ねらい,万世橋,秋葉原交番,131016,東京都,千代田区,外神田３丁目,2019-12-25,04,道路上,その他,なし
窃盗,自動販売機ねらい,久松,東日本橋交番,131024,東京都,中央区,東日本橋２丁目,2020-04-21,17,道路上,その他,あり
窃盗,自動販売機ねらい,築地,中央市場交番,131024,東京都,中央区,築地５丁目,2020-11-28,10,その他,その他,あり
窃盗,自動販売機ねらい,愛宕,虎の門交番,131032,東京都,港区,虎ノ門２丁目,2020-02-11,10,道路上,その他,あり
窃盗,自動販売機ねらい,愛宕,新橋三丁目交番,131032,東京都,港区,西新橋１丁目,2020-01-04,20,その他,その他,あり
窃盗,自動販売機ねらい,愛宕,新橋駅前交番,131032,東京都,港区,新橋２丁目,2020-07-06,17,その他,その他,なし
窃盗,自動販売機ねらい,高輪,白金三光町交番,131032,東京都,港区,白金台４丁目,2020-11-25,16,道路上,その他,あり
窃盗,自動販売機ねらい,麻布,六本木六丁目交番,131032,東京都,港区,六本木５丁目,2020-06-11,13,その他,その他,あり
窃盗,自動販売機ねらい,赤坂,青山一丁目交番,131032,東京都,港区,南青山２丁目,2020-03-19,15,その他,その他,あり
