罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,現金被害の有無
窃盗,車上ねらい,中央,八重洲通交番,131024,東京都,中央区,京橋３丁目,2021/12/14,19,道路上,その他,施錠した,あり
窃盗,車上ねらい,中央,八重洲通交番,131024,東京都,中央区,八重洲２丁目,2021/6/10,7,駐車（輪）場,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,中央,日本橋交番,131024,東京都,中央区,日本橋堀留町１丁目,2021/10/2,13,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,中央,日本橋交番,131024,東京都,中央区,日本橋本町２丁目,2021/7/11,18,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,中央,日本橋交番,131024,東京都,中央区,八重洲１丁目,2021/10/22,9,道路上,その他,施錠せず,あり
窃盗,車上ねらい,深川,東陽交番,131083,東京都,江東区,東陽４丁目,2021/5/23,17,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,深川,東陽交番,131083,東京都,江東区,東陽４丁目,2021/6/9,18,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,深川,東陽交番,131083,東京都,江東区,東陽４丁目,2021/8/11,17,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,深川,東陽交番,131083,東京都,江東区,東陽４丁目,2021/10/3,17,その他,その他,施錠せず,なし
窃盗,車上ねらい,深川,東陽交番,131083,東京都,江東区,東陽４丁目,2021/11/14,16,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,深川,東陽交番,131083,東京都,江東区,東陽４丁目,2021/12/25,17,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,深川,東陽交番,131083,東京都,江東区,南砂２丁目,2021/8/24,6,４階建て以上共同住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,深川,東陽交番,131083,東京都,江東区,南砂２丁目,2021/9/29,19,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,深川,東陽交番,131083,東京都,江東区,南砂２丁目,2021/9/30,18,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,深川,枝川交番,131083,東京都,江東区,潮見１丁目,2021/5/22,21,道路上,その他,施錠せず,あり
窃盗,車上ねらい,深川,枝川交番,131083,東京都,江東区,潮見２丁目,2021/5/22,21,道路上,その他,施錠せず,あり
窃盗,車上ねらい,深川,森下交番,131083,東京都,江東区,森下４丁目,2021/11/11,7,道路上,その他,施錠せず,あり
窃盗,車上ねらい,深川,清澄庭園前交番,131083,東京都,江東区,白河１丁目,2021/6/13,13,４階建て以上共同住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,深川,現代美術館前交番,131083,東京都,江東区,白河４丁目,2021/1/9,21,道路上,その他,施錠せず,なし
窃盗,車上ねらい,深川,現代美術館前交番,131083,東京都,江東区,白河４丁目,2021/8/29,16,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,深川,豊洲交番,131083,東京都,江東区,豊洲２丁目,2021/6/14,16,４階建て以上共同住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,深川,豊洲交番,131083,東京都,江東区,豊洲４丁目,2021/12/4,19,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,深川,豊洲交番,131083,東京都,江東区,豊洲５丁目,2021/5/6,18,４階建て以上共同住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,深川,豊洲交番,131083,東京都,江東区,豊洲６丁目,2021/5/9,18,道路上,その他,施錠せず,なし
窃盗,車上ねらい,深川,門前仲町交番,131083,東京都,江東区,永代１丁目,2021/10/7,20,４階建て以上共同住宅,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,深川,門前仲町交番,131083,東京都,江東区,越中島１丁目,2021/1/8,13,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,深川,門前仲町交番,131083,東京都,江東区,牡丹２丁目,2021/6/26,14,その他,その他,施錠せず,あり
窃盗,車上ねらい,深川,門前仲町交番,131083,東京都,江東区,門前仲町１丁目,2021/12/14,11,その他,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,深川,門前仲町交番,131083,東京都,江東区,門前仲町２丁目,2021/9/29,12,道路上,その他,施錠せず,なし
窃盗,車上ねらい,麹町,五味坂交番,131016,東京都,千代田区,一番町,2021/8/23,8,４階建て以上共同住宅,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,丸の内,有楽町駅前交番,131016,東京都,千代田区,有楽町１丁目,2021/10/3,16,道路上,その他,施錠せず,なし
窃盗,車上ねらい,神田,司町交番,131016,東京都,千代田区,神田多町２丁目,2021/9/29,10,道路上,その他,施錠せず,あり
窃盗,車上ねらい,万世橋,神田駅交番,131016,東京都,千代田区,神田須田町２丁目,2021/4/22,16,道路上,その他,施錠せず,なし
窃盗,車上ねらい,万世橋,神田駅交番,131016,東京都,千代田区,神田富山町,2021/11/22,7,駐車（輪）場,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,万世橋,美倉橋交番,131016,東京都,千代田区,神田和泉町,2021/6/16,19,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,万世橋,美倉橋交番,131016,東京都,千代田区,神田和泉町,2021/11/3,17,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,万世橋,美倉橋交番,131016,東京都,千代田区,神田和泉町,2021/11/11,17,その他,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,万世橋,美倉橋交番,131016,東京都,千代田区,神田佐久間町２丁目,2021/10/25,10,駐車（輪）場,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,久松,東日本橋交番,131024,東京都,中央区,日本橋馬喰町１丁目,2021/4/7,12,道路上,その他,施錠せず,あり
窃盗,車上ねらい,久松,東日本橋交番,131024,東京都,中央区,日本橋横山町,2021/8/23,14,その他,駐車（輪）場,施錠せず,あり
