罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,現金以外の主な被害品
窃盗,部品ねらい,中央,本町交番,131024,東京都,中央区,日本橋本町３丁目,2019-02-24,09,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,中央,日本橋交番,131024,東京都,中央区,日本橋室町２丁目,2019-05-30,08,駐車（輪）場,その他
窃盗,部品ねらい,中央,茅場町交番,131024,東京都,中央区,日本橋兜町,2019-03-31,12,道路上,その他
窃盗,部品ねらい,中央,八丁堀交番,131024,東京都,中央区,八丁堀４丁目,2019-09-22,08,４階建て以上共同住宅,その他
窃盗,部品ねらい,中央,高橋交番,131024,東京都,中央区,新川２丁目,2019-10-02,17,４階建て以上共同住宅,その他
窃盗,部品ねらい,中央,高橋交番,131024,東京都,中央区,八丁堀４丁目,2019-09-07,16,４階建て以上共同住宅,その他
窃盗,部品ねらい,深川,森下交番,131083,東京都,江東区,新大橋１丁目,2019-11-06,04,４階建て以上共同住宅,タイヤ・ホイール
窃盗,部品ねらい,深川,森下交番,131083,東京都,江東区,新大橋２丁目,2019-11-29,17,その他,ナンバープレート
窃盗,部品ねらい,深川,森下交番,131083,東京都,江東区,高橋,2019-02-10,16,一戸建住宅,その他
窃盗,部品ねらい,深川,住吉交番,131083,東京都,江東区,住吉１丁目,2019-03-26,16,４階建て以上共同住宅,その他
窃盗,部品ねらい,深川,東陽交番,131083,東京都,江東区,塩浜２丁目,2019-03-29,21,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,深川,東陽交番,131083,東京都,江東区,塩浜２丁目,2019-09-18,06,その他,その他
窃盗,部品ねらい,深川,東陽交番,131083,東京都,江東区,東陽４丁目,2018-06-10,16,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,深川,東陽交番,131083,東京都,江東区,東陽５丁目,2019-02-23,17,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,深川,東陽交番,131083,東京都,江東区,東陽５丁目,2019-10-03,12,駐車（輪）場,その他
窃盗,部品ねらい,深川,東陽交番,131083,東京都,江東区,東陽５丁目,2019-12-16,06,その他,ナンバープレート
窃盗,部品ねらい,深川,門前仲町交番,131083,東京都,江東区,越中島１丁目,2019-06-06,19,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,深川,門前仲町交番,131083,東京都,江東区,越中島２丁目,2019-03-20,17,駐車（輪）場,その他
窃盗,部品ねらい,深川,門前仲町交番,131083,東京都,江東区,越中島２丁目,2019-05-25,10,駐車（輪）場,その他
窃盗,部品ねらい,深川,門前仲町交番,131083,東京都,江東区,越中島２丁目,2019-05-29,08,駐車（輪）場,その他
窃盗,部品ねらい,深川,門前仲町交番,131083,東京都,江東区,越中島２丁目,2019-06-13,20,４階建て以上共同住宅,ナンバープレート
