罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,施錠関係,現金被害の有無
窃盗,車上ねらい,中央,本町交番,131024,東京都,中央区,日本橋本町４丁目,2018-03-03,12,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,中央,八重洲通交番,131024,東京都,中央区,日本橋３丁目,2018-09-25,09,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,中央,八重洲通交番,131024,東京都,中央区,八重洲２丁目,2018-03-17,08,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,中央,八重洲通交番,131024,東京都,中央区,八重洲２丁目,2018-03-17,09,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,中央,八重洲通交番,131024,東京都,中央区,八重洲２丁目,2018-10-17,08,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,中央,八丁堀交番,131024,東京都,中央区,八丁堀３丁目,2018-02-28,13,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,神田,司町交番,131016,東京都,千代田区,内神田１丁目,2018-03-04,10,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,神田,水道橋駅前交番,131016,東京都,千代田区,,2018-03-10,15,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,久松,東日本橋交番,131024,東京都,中央区,東日本橋２丁目,2017-12-10,不明,道路上,施錠した,なし
窃盗,車上ねらい,築地,銀座一丁目交番,131024,東京都,中央区,銀座１丁目,2018-04-21,15,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,築地,銀座一丁目交番,131024,東京都,中央区,銀座２丁目,2018-06-05,14,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,築地,銀座八丁目交番,131024,東京都,中央区,銀座６丁目,2018-03-23,16,道路上,施錠した,あり
窃盗,車上ねらい,愛宕,東新橋交番,131032,東京都,港区,東新橋１丁目,2018-03-06,09,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,麻布,西麻布交番,131032,東京都,港区,西麻布１丁目,2018-10-03,14,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,麻布,西麻布交番,131032,東京都,港区,西麻布４丁目,2018-09-23,10,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,麻布,六本木六丁目交番,131032,東京都,港区,六本木７丁目,2018-03-14,18,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,赤坂,青山一丁目交番,131032,東京都,港区,南青山２丁目,2018-06-18,14,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,赤坂,表参道交番,131032,東京都,港区,南青山６丁目,2018-08-21,09,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,赤坂,表参道交番,131032,東京都,港区,南青山７丁目,2018-10-16,13,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,東京湾岸,お台場海浜公園駅前交番,131032,東京都,港区,台場１丁目,2018-08-12,23,道路上,施錠した,あり
窃盗,車上ねらい,東京湾岸,お台場海浜公園駅前交番,131032,東京都,港区,台場１丁目,2018-08-24,22,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,東京湾岸,お台場海浜公園駅前交番,131032,東京都,港区,台場１丁目,2018-09-04,00,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,東京湾岸,お台場海浜公園駅前交番,131032,東京都,港区,台場１丁目,2018-09-12,23,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,東京湾岸,お台場海浜公園駅前交番,131032,東京都,港区,台場１丁目,2018-12-22,23,駐車（輪）場,施錠した,あり
窃盗,車上ねらい,東京湾岸,お台場海浜公園駅前交番,131032,東京都,港区,台場１丁目,2018-12-24,22,その他,施錠した,あり
窃盗,車上ねらい,田園調布,鵜の木駅前交番,131113,東京都,大田区,鵜の木３丁目,2018-06-08,03,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,蒲田,京急蒲田駅前交番,131113,東京都,大田区,蒲田４丁目,2018-03-23,20,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,蒲田,西六郷交番,131113,東京都,大田区,新蒲田３丁目,2018-12-12,18,一戸建住宅,施錠した,なし
窃盗,車上ねらい,蒲田,西六郷交番,131113,東京都,大田区,西六郷３丁目,2018-12-03,18,駐車（輪）場,施錠した,なし
窃盗,車上ねらい,蒲田,西六郷交番,131113,東京都,大田区,西六郷４丁目,2018-12-03,16,駐車（輪）場,施錠した,なし
