罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,現金被害の有無
窃盗,自動販売機ねらい,深川,枝川交番,131083,東京都,江東区,潮見２丁目,2022-01-25,14,道路上,その他,あり
窃盗,自動販売機ねらい,麹町,九段下交番,131016,東京都,千代田区,九段南２丁目,2022-01-12,19,その他,その他,あり
窃盗,自動販売機ねらい,麹町,五味坂交番,131016,東京都,千代田区,三番町,2022-01-12,21,その他,その他,あり
窃盗,自動販売機ねらい,神田,神保町交番,131016,東京都,千代田区,神田神保町３丁目,2022-11-16,16,道路上,その他,あり
窃盗,自動販売機ねらい,久松,浜町交番,131024,東京都,中央区,日本橋浜町３丁目,2021-10-03,9,その他,その他,あり
窃盗,自動販売機ねらい,久松,浜町交番,131024,東京都,中央区,日本橋浜町３丁目,2021-10-18,9,その他,その他,あり
窃盗,自動販売機ねらい,築地,銀座八丁目交番,131024,東京都,中央区,銀座８丁目,2022-04-05,12,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,赤坂,赤坂見附交番,131032,東京都,港区,赤坂３丁目,2022-08-16,11,その他,その他,あり
窃盗,自動販売機ねらい,品川,御殿山交番,131091,東京都,品川区,東五反田２丁目,2022-03-27,9,その他,その他,なし
窃盗,自動販売機ねらい,品川,青物横丁駅前交番,131091,東京都,品川区,南品川２丁目,2022-08-29,16,道路上,その他,あり
窃盗,自動販売機ねらい,大井,鹿島神社前交番,131091,東京都,品川区,大井３丁目,2021-12-24,8,道路上,その他,あり
窃盗,自動販売機ねらい,大崎,大崎駅前交番,131091,東京都,品川区,大崎５丁目,2022-05-07,2,道路上,その他,あり
窃盗,自動販売機ねらい,荏原,源氏前交番,131091,東京都,品川区,中延４丁目,2022-08-29,11,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,荏原,荏原中延駅前交番,131091,東京都,品川区,東中延２丁目,2022-05-22,9,道路上,その他,あり
窃盗,自動販売機ねらい,大森,大森海岸交番,131113,東京都,大田区,大森南２丁目,2022-07-29,9,その他,その他,あり
窃盗,自動販売機ねらい,大森,大森海岸交番,131113,東京都,大田区,平和島１丁目,2022-02-06,8,その他,その他,あり
窃盗,自動販売機ねらい,大森,大森海岸交番,131113,東京都,大田区,平和島６丁目,2022-05-22,15,その他,その他,あり
窃盗,自動販売機ねらい,大森,山王交番,131113,東京都,大田区,山王２丁目,2022-02-05,5,その他,その他,あり
窃盗,自動販売機ねらい,蒲田,蒲田駅東口交番,131113,東京都,大田区,蒲田４丁目,2021-12-11,不明,その他,その他,あり
窃盗,自動販売機ねらい,池上,三本松交番,131113,東京都,大田区,北馬込１丁目,2021-12-30,18,その他,その他,あり
窃盗,自動販売機ねらい,池上,池上駅前交番,131113,東京都,大田区,池上４丁目,2022-11-07,13,その他,その他,あり
窃盗,自動販売機ねらい,玉川,奥沢駅前交番,131121,東京都,世田谷区,奥沢２丁目,2022-11-02,17,道路上,その他,あり
窃盗,自動販売機ねらい,成城,千歳船橋駅前交番,131121,東京都,世田谷区,千歳台１丁目,2022-01-06,13,その他,その他,あり
窃盗,自動販売機ねらい,成城,千歳船橋駅前交番,131121,東京都,世田谷区,船橋１丁目,2022-06-29,12,その他,その他,あり
窃盗,自動販売機ねらい,成城,喜多見駅前交番,131121,東京都,世田谷区,喜多見９丁目,2022-06-10,13,その他,その他,あり
窃盗,自動販売機ねらい,成城,喜多見駐在所,131121,東京都,世田谷区,宇奈根２丁目,2022-07-14,15,その他,その他,あり
窃盗,自動販売機ねらい,成城,岡本駐在所,131121,東京都,世田谷区,岡本１丁目,2022-09-03,6,その他,その他,なし
窃盗,自動販売機ねらい,成城,成城交番,131121,東京都,世田谷区,成城２丁目,2022-10-29,9,その他,その他,あり
窃盗,自動販売機ねらい,成城,給田交番,131121,東京都,世田谷区,給田５丁目,2022-08-10,14,その他,その他,あり
窃盗,自動販売機ねらい,渋谷,恵比寿駅前交番,131130,東京都,渋谷区,恵比寿西１丁目,2022-12-02,18,道路上,その他,あり
窃盗,自動販売機ねらい,原宿,代々木二丁目交番,131130,東京都,渋谷区,代々木２丁目,2022-07-05,16,道路上,その他,あり
窃盗,自動販売機ねらい,原宿,代々木駅前交番,131130,東京都,渋谷区,千駄ヶ谷３丁目,2022-07-06,13,その他,その他,あり
窃盗,自動販売機ねらい,代々木,笹塚交番,131130,東京都,渋谷区,笹塚１丁目,2022-02-28,12,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,代々木,笹塚交番,131130,東京都,渋谷区,笹塚１丁目,2022-09-01,6,その他,その他,あり
窃盗,自動販売機ねらい,代々木,笹塚交番,131130,東京都,渋谷区,笹塚２丁目,2022-04-14,1,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,牛込,神楽坂上交番,131041,東京都,新宿区,神楽坂６丁目,2021-10-29,9,その他,その他,あり
窃盗,自動販売機ねらい,新宿,歌舞伎町交番,131041,東京都,新宿区,歌舞伎町２丁目,2022-03-11,6,その他,その他,あり
窃盗,自動販売機ねらい,新宿,百人町交番,131041,東京都,新宿区,百人町２丁目,2022-08-12,15,その他,その他,あり
窃盗,自動販売機ねらい,戸塚,高田馬場駅前交番,131041,東京都,新宿区,高田馬場１丁目,2022-08-09,14,その他,その他,あり
窃盗,自動販売機ねらい,四谷,信濃町交番,131041,東京都,新宿区,信濃町,2022-01-15,2,その他,その他,あり
窃盗,自動販売機ねらい,四谷,大京町交番,131041,東京都,新宿区,大京町,2021-12-28,13,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,野方,沼袋交番,131148,東京都,中野区,新井４丁目,2021-12-21,10,道路上,その他,あり
窃盗,自動販売機ねらい,野方,野方一丁目交番,131148,東京都,中野区,野方２丁目,2022-02-22,9,道路上,その他,あり
窃盗,自動販売機ねらい,高井戸,泉南交番,131156,東京都,杉並区,方南１丁目,2022-07-13,10,その他,その他,あり
窃盗,自動販売機ねらい,荻窪,善福寺交番,131156,東京都,杉並区,善福寺１丁目,2022-08-02,14,その他,その他,あり
窃盗,自動販売機ねらい,大塚,茗荷谷駅前交番,131059,東京都,文京区,小日向２丁目,2022-06-30,4,駐車（輪）場,駐車（輪）場,なし
窃盗,自動販売機ねらい,駒込,上富士前交番,131059,東京都,文京区,本駒込２丁目,2021-11-03,9,その他,その他,あり
窃盗,自動販売機ねらい,巣鴨,大塚駅前交番,131164,東京都,豊島区,北大塚２丁目,2021-10-29,9,その他,その他,あり
窃盗,自動販売機ねらい,巣鴨,大塚駅前交番,131164,東京都,豊島区,南大塚２丁目,2022-11-09,19,駐車（輪）場,駐車（輪）場,あり
窃盗,自動販売機ねらい,巣鴨,大塚駅前交番,131164,東京都,豊島区,南大塚３丁目,2022-09-03,17,その他,その他,あり
窃盗,自動販売機ねらい,巣鴨,巣鴨新田交番,131164,東京都,豊島区,上池袋１丁目,2021-11-03,9,その他,その他,あり
窃盗,自動販売機ねらい,巣鴨,巣鴨駅前交番,131164,東京都,豊島区,巣鴨３丁目,2022-01-04,20,その他,その他,あり
窃盗,自動販売機ねらい,池袋,池袋駅西口交番,131164,東京都,豊島区,西池袋１丁目,2022-08-09,17,その他,その他,あり
窃盗,自動販売機ねらい,目白,千登世橋交番,131164,東京都,豊島区,高田３丁目,2022-03-28,18,その他,その他,あり
窃盗,自動販売機ねらい,滝野川,中里交番,131172,東京都,北区,中里２丁目,2022-06-17,12,その他,その他,あり
窃盗,自動販売機ねらい,滝野川,谷戸駐在所,131172,東京都,北区,西ケ原３丁目,2022-09-17,10,道路上,その他,あり
窃盗,自動販売機ねらい,板橋,中板橋交番,131199,東京都,板橋区,双葉町,2022-05-06,10,その他,その他,あり
窃盗,自動販売機ねらい,志村,蓮根交番,131199,東京都,板橋区,相生町,2022-01-18,22,その他,その他,あり
窃盗,自動販売機ねらい,石神井,南大泉交番,131202,東京都,練馬区,南大泉５丁目,2022-01-29,21,その他,その他,あり
窃盗,自動販売機ねらい,石神井,大泉学園交番,131202,東京都,練馬区,大泉学園町２丁目,2022-01-27,15,その他,その他,あり
窃盗,自動販売機ねらい,石神井,大泉学園交番,131202,東京都,練馬区,大泉学園町２丁目,2022-01-28,11,その他,その他,あり
窃盗,自動販売機ねらい,石神井,大泉学園交番,131202,東京都,練馬区,大泉学園町２丁目,2022-01-29,22,その他,その他,あり
窃盗,自動販売機ねらい,石神井,東大泉駐在所,131202,東京都,練馬区,東大泉２丁目,2022-08-12,10,道路上,その他,あり
窃盗,自動販売機ねらい,高島平,下赤塚交番,131199,東京都,板橋区,赤塚新町３丁目,2021-10-29,9,道路上,その他,あり
