罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,被害者の性別,被害者の年齢,現金被害の有無
窃盗,ひったくり,丸の内,有楽町駅前交番,131016,東京都,千代田区,丸の内３丁目,2022-04-20,02,道路上,男性,20歳代,なし
窃盗,ひったくり,万世橋,秋葉原交番,131016,東京都,千代田区,外神田３丁目,2022-09-10,03,道路上,男性,60-64歳,あり
窃盗,ひったくり,万世橋,秋葉原交番,131016,東京都,千代田区,外神田４丁目,2022-08-31,21,その他,女性,20歳代,あり
窃盗,ひったくり,久松,水天宮前交番,131024,東京都,中央区,日本橋蛎殻町１丁目,2022-10-22,09,道路上,女性,70歳以上,あり
窃盗,ひったくり,久松,浜町交番,131024,東京都,中央区,日本橋浜町２丁目,2022-05-31,20,道路上,女性,60-64歳,あり
窃盗,ひったくり,久松,箱崎交番,131024,東京都,中央区,日本橋箱崎町,2022-06-20,20,道路上,女性,70歳以上,あり
窃盗,ひったくり,築地,小田原町交番,131024,東京都,中央区,築地２丁目,2022-10-26,23,道路上,女性,50歳代,あり
窃盗,ひったくり,築地,小田原町交番,131024,東京都,中央区,築地４丁目,2022-04-20,00,道路上,女性,65-69歳,あり
窃盗,ひったくり,愛宕,新橋駅前交番,131032,東京都,港区,新橋１丁目,2022-10-22,00,道路上,女性,30歳代,あり
窃盗,ひったくり,愛宕,浜松町交番,131032,東京都,港区,浜松町１丁目,2022-04-20,00,道路上,男性,40歳代,なし
窃盗,ひったくり,東京湾岸,第五台場交番,131032,東京都,港区,港南５丁目,2022-12-22,20,その他,男性,50歳代,なし
窃盗,ひったくり,品川,御殿山交番,131091,東京都,品川区,東五反田２丁目,2022-06-29,04,道路上,女性,20歳代,なし
窃盗,ひったくり,荏原,戸越交番,131091,東京都,品川区,戸越５丁目,2022-10-21,14,道路上,女性,70歳以上,あり
窃盗,ひったくり,田園調布,石川台交番,131113,東京都,大田区,南雪谷１丁目,2022-08-31,03,道路上,女性,40歳代,あり
窃盗,ひったくり,蒲田,日の出通交番,131113,東京都,大田区,西糀谷１丁目,2022-04-27,02,道路上,女性,20歳代,あり
窃盗,ひったくり,池上,蓮沼交番,131113,東京都,大田区,東矢口３丁目,2022-12-01,02,道路上,男性,20歳代,あり
窃盗,ひったくり,世田谷,三宿交番,131121,東京都,世田谷区,池尻２丁目,2022-04-23,08,道路上,男性,20歳代,なし
窃盗,ひったくり,成城,船橋交番,131121,東京都,世田谷区,八幡山１丁目,2022-10-04,17,道路上,女性,50歳代,あり
窃盗,ひったくり,目黒,宿山交番,131105,東京都,目黒区,東山１丁目,2022-01-26,16,道路上,女性,10歳代,あり
窃盗,ひったくり,碑文谷,本町二丁目交番,131105,東京都,目黒区,目黒本町４丁目,2022-10-20,13,道路上,女性,50歳代,あり
窃盗,ひったくり,碑文谷,自由が丘交番,131105,東京都,目黒区,自由が丘１丁目,2022-08-04,03,道路上,女性,20歳代,あり
窃盗,ひったくり,渋谷,東交番,131130,東京都,渋谷区,東１丁目,2022-09-26,13,その他,女性,70歳以上,なし
窃盗,ひったくり,渋谷,渋谷駅前交番,131130,東京都,渋谷区,桜丘町,2022-07-07,21,道路上,女性,20歳代,なし
