注文日（Date）,品名（Name of Item）,数量（Quantity）,単位（Unit）,安全注釈リストの分類（Classification）1,安全注釈リストの分類（Classification）2,安全注釈リストの分類（Classification）3,契約相手先（Contractor）,手続(注）（Procedure）
2014/4/1,車両冷房装置修繕,5,編成,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,東芝トランスポートエンジニアリング株式会社,有
2014/4/1,駅対向壁内照式駅名標改修,38,駅,鉄道施設を構成する産品,停車場,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,株式会社スズオカ,有
2014/5/16,変電所受変電設備,1,箇所,鉄道施設を構成する産品,変電所等設備,発変電設備及びその構成産品,富士電機株式会社,有
2014/6/9,レール,14400,m,鉄道施設を構成する産品,鉄道線路,レールその他軌道の構成産品、レールの接続又は取付けに専ら使用する産品,塚本總業株式会社,有
2014/6/10,車庫制御情報送信装置,1,箇所,鉄道施設を構成する産品,車庫及び車両検査修繕施設,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,株式会社京三製作所,有
2014/6/12,可動式ホーム柵部品交換,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,八洲電機株式会社,無
2014/6/12,軸バネほか,1,式,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,住友商事株式会社,無
2014/7/17,ホームドア対応車両改修       ,10,編成分,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,株式会社総合車両製作所,無
2014/7/18,車輪,732,枚,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,住友商事株式会社,無
2014/7/25,電車両,8,両,車両および車両産品,車両,鉄道用の客車及び貨車,アルナ車両株式会社,有
2014/9/25,車両更新修繕,12,編成分,車両および車両産品,車両,鉄道用の客車及び貨車,京王重機整備株式会社,有
