配置,施設名,設置場所,営業時間・利用時間,サイズ・口数（コインロッカー）,座席,電話番号,ホームページ,PASMO対応,備考
A,フレッシュベーカリー神戸屋（パン）,B1階改札外コンコース（西武池袋線方）,【全日】7時から21時まで,,,03-5946-2170,https://www.kobeya.co.jp/shopmap/fresh_bakery/fb_nerima,○,
B,コインロッカー,B1階改札外コンコース（A1出口方）,,【中型】3口【標準】20口,,,,,
C,証明写真機,B1階改札外コンコース（A1出口方）,,,,,,,
D,ATM（中央労働金庫）,B1階改札外コンコース（A1出口方）,【全日】7時から23時まで,,,,,,
E,ATM（セブン銀行）,B1階改札外コンコース（西武池袋線方）,【全日】5時から24時まで,,,,,,
