配置,施設名,設置場所,営業時間・利用時間,サイズ・口数（コインロッカー）,座席,電話番号,ホームページ,PASMO対応,備考
A,フレッシュベーカリー神戸屋（喫茶・パン等）,1階改札外コンコース（東口）,【平日】7時から22時まで【土曜】8時から20時まで【日曜・祝日】8時から20時まで,,17席,03-5922-6368,https://www.kobeya.co.jp/shopmap/fresh_bakery/fb_takashimadaira,○,
B,スマイルマーケット（菓子・工芸品等）,1階改札外コンコース（西口）,【平日】11時から19時まで【土曜】休業【日曜・祝日】休業,,,03-5922-4838,,○,
C,コインロッカー,1階改札外コンコース（東口）,,【中型】3口【標準】15口,,,,,
D,証明写真機,1階改札外コンコース（西口）,,,,,,,
E,ATM（セブン銀行）,1階改札外コンコース（東口）,【全日】5時から24時まで,,,,,,
F,ATM（みずほ銀行）,1階改札外コンコース（東口）,【平日】7時から24時まで【土曜・日曜・祝日】8時から21時まで,,,,,,
G,ATM（ゆうちょ銀行）,西口歩道橋下,【平日】7時から23時まで【土曜】8時から21時まで【日曜・祝日】8時から21時まで,,,,,,
H,ATM（三菱UFJ銀行）,1階改札外コンコース（東口）,【全日】7時から24時まで,,,,,,
I,宅配受取ロッカー（PUDOステーション）,1階改札外コンコース（東口）,【全日】5時から24時まで,,,,,,
