駅名,一日平均乗車人員,一日平均降車人員
日暮里,24192,24060
西日暮里,14571,15548
赤土小学校前,2591,2464
熊野前,4208,4051
足立小台,1724,1700
扇大橋,4680,4609
高野,2983,2934
江北,6099,6008
西新井大師西,5610,5562
谷在家,4987,4876
舎人公園,2243,2203
舎人,4255,4225
見沼代親水公園,6178,6080
計13駅,84320,84320
