,大人（きっぷ）（円）,小児（きっぷ）（円）,大人（IC）（円）,小児（IC）（円）
1キロから2キロまで,170,90,168,84
3キロから4キロまで,240,120,231,115
5キロから7キロまで,290,150,283,141
8キロから10キロまで,340,170,335,167
