水車,"立軸フランシス水車　出力 8,500キロワット 2台"
発電機,"立軸三相同期発電機　出力 9,500キロボルトアンペア　電圧 11,000ボルト 2台"
主要変圧器,"三相内鉄型　環境対応型屋外油入自冷式（パームヤシ脂肪酸エステル絶縁油を使用）　容量 19,000キロボルトアンペア 1台"
主要遮断器,"ガス遮断器　電圧 72キロボルト　電流 1,200アンペア　遮断電流 31.5キロアンペア 2台"
