配置,施設名,設置場所,営業時間・利用時間,サイズ・口数（コインロッカー）,座席,電話番号,ホームページ,PASMO対応,備考
A,コインロッカー,B1階改札外コンコース（A1出口方改札付近）,※2【大型】4口【中型】4口【標準】5口,,,,,◯,★宅配受取サービス（利用時間：5時から24時まで）
B,コインロッカー,B1階改札外コンコース（A2・A3出口方改札付近）,※1【中型】3口【標準】15口,,,,,,
C,証明写真機,B1階改札内コンコース,,,,,,,
D,ATM（セブン銀行）,B1階改札外コンコース（A1出口方改札付近）,【全日】5時から24時まで,,,,,,
E,ATM（巣鴨信用金庫）,B1階改札外コンコース（A1出口方改札付近）,【平日】8時から21時まで【土曜】8時から17時まで【日曜・祝日】8時から17時まで,,,,,,
F,宅配受取ロッカー（PUDOステーション）,B1階改札外コンコース（A1出口方改札付近）,【全日】5時から24時まで,,,,,,
G,期間限定ショップ,B1階改札内コンコース,,,,,,,期間限定で様々な商品を販売
G,カプセル玩具販売機コーナー,B1階改札内コンコース,,,,,,,64台
H,モバイルバッテリースタンド（充レン）,B1階改札内コンコース（期間限定ショップ区画内）,,,,,,,
