注文日（Date）,品名（Name of Item）,数量（Quantity）,単位（Unit）,安全注釈リストの分類（Classification）1,安全注釈リストの分類（Classification）2,安全注釈リストの分類（Classification）3,契約相手先（Contractor）,手続(注）（Procedure）
2018/10/04,車輪転削盤製造,1,台,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,川重商事株式会社,無
2018/10/11,列車制御装置修繕,2,編成,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,八洲電機株式会社,無
2018/10/11,車両更新修繕,1,式,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,八洲電機株式会社,無
2018/10/12,駅機械設備修繕,1,式,鉄道施設を構成する産品,停車場,鉄道施設に使用する換気設備,協立機電工業株式会社,有
2018/10/24,電力監視装置改修,1,式,鉄道施設を構成する産品,変電所等設備,発変電設備及びその構成産品,株式会社日立製作所,無
2018/10/26,電源装置製造,1,式,鉄道施設を構成する産品,変電所等設備,発変電設備及びその構成産品,株式会社ホマレ電池,有
2018/11/08,伝送装置更新,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,日本電気株式会社,有
2018/12/12,列車無線装置改修,1,式,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,川崎重工業株式会社,無
2019/01/25,列車無線装置製造,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,三菱電機株式会社,無
2019/01/28,携帯無線装置製造,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,株式会社日立国際電気,有
2019/01/29,車両更新修繕,3,編成,車両および車両産品,車両,鉄道用の客車及び貨車,京王重機整備株式会社,有
2019/02/04,車輪,856,枚,車両および車両産品,車両産品,鉄道用の機関車又は車両用の部分品,住友商事株式会社,無
2019/02/08,駅機械設備監視装置更新,1,式,鉄道施設を構成する産品,停車場,鉄道施設に使用する換気設備,アズビル株式会社,有
2019/02/15,伝送装置製造,1,式,鉄道施設を構成する産品,運転保安設備,鉄道の信号用、安全用又は交通管制用の電気、並びに機械式機器(電気機械式を含む）,株式会社日立製作所,無
2019/02/20,車両更新修繕,2,編成,車両および車両産品,車両,鉄道用の客車及び貨車,川崎重工業株式会社,無
2019/02/21,電車両,80,両,車両および車両産品,車両,鉄道用の客車及び貨車,株式会社総合車両製作所,有
