区分,1か月,1か月+13日,3か月,6か月
通勤（円）,7460,10000,21260,40280
通学（円）（大人）,5930,－,16900,32020
通学（円）（中学生）,5430,－,15480,29320
通学（円）（小児）,2970,－,8450,16010
