水車,"横軸フランシス水車　出力 1,114キロワット 1台　出力 160キロワット 1台　計 2台"
発電機,"横軸三相同期発電機　出力 1,100キロボルトアンペア　電圧 6,600ボルト 1台"
主要変圧器,"三相内鉄型　屋内乾式自冷式　モールド変圧器　容量 1,110キロボルトアンペア 1台"
主要遮断器,真空遮断器　電圧 7.2キロボルト　電流 600アンペア　遮断電流 12.5キロアンペア 1台
