配置,施設名,設置場所,営業時間・利用時間,サイズ・口数（コインロッカー）,座席,電話番号,ホームページ,PASMO対応,備考
A,ファミリーマート（コンビニ）,B1階改札外コンコース（0～2出口方改札付近）,【全日】6時から23時まで,,,03-5413-3262,http://www.family.co.jp/,○,
B,コインロッカー,B1階改札外コンコース（5出口方）,,【大型】3口【中型】3口【標準】4口,,,,○,
C,コインロッカー,B4階改札内コンコース（ホーム行きEV付近）,,【大型】3口【中型】3口【標準】4口,,,,○,
D,証明写真機,B1階改札外コンコース（3・4出口方）,,,,,,,
E,ATM（みずほ銀行）,B1階改札外コンコース（3・4出口方）,【月曜】7時から24時まで【火曜～金曜】5時から24時まで【土曜】5時から22時まで【日曜】8時から21時まで【祝日】当該曜日営業時間,,,,,,
