区分,大人,小児,備考
一般系統,210円（IC 210円）,110円（IC 105円）,急行バス、直行バスを含む。
学バス系統,180円（IC 178円）,90円（IC 89円）,"学02,学03,学05,学06系統"
C・H01系統,190円（IC 189円）,100円（IC 95円）,
深夜バス,420円（IC 420円）,210円（IC 210円）,"深夜02,深夜03,深夜07,深夜11,深夜12,深夜13系統"
