車両名,導入開始,内容,車両数（両）
ノンステップバス,平成9年3月,乗降口のステップをなくした、どなたでも乗り降りがしやすい車両,1448
フルフラットバス,平成30年12月,車両後方の通路にある段差を解消した車両,29
ニーリング（車高調整装置）付バス,平成6年2月,エアサスペンション（空気バネ）の空気を抜き、車高を下げ、お客様の乗り降りをしやすくしている。,1448
