キロ程（km）,1か月,3か月,6か月
1,6510,18560,35160
2,7730,22040,41750
3,8960,25540,48390
4,10190,29050,55030
5,10990,31330,59350
6,11800,33630,63720
7,12630,36000,68210
8,13040,37170,70420
9,13440,38310,72580
10,13850,39480,74790
